"animal_id","animal_name","available_variants","available_variant_count","source_files","integration_policy","runtime_behavior"
"1001","鸡","1;2","2","module/mc/main/sound/animal/1/s1001.swf;module/mc/main/sound/animal/2/s1001.swf","default","randomize-listed-variants"
"1002","兔子","1;2","2","module/mc/main/sound/animal/1/s1002.swf;module/mc/main/sound/animal/2/s1002.swf","default","randomize-listed-variants"
"1003","鹅","1;2","2","module/mc/main/sound/animal/1/s1003.swf;module/mc/main/sound/animal/2/s1003.swf","default","randomize-listed-variants"
"1004","猫","1;2","2","module/mc/main/sound/animal/1/s1004.swf;module/mc/main/sound/animal/2/s1004.swf","default","randomize-listed-variants"
"1005","孔雀","1;2","2","module/mc/main/sound/animal/1/s1005.swf;module/mc/main/sound/animal/2/s1005.swf","default","randomize-listed-variants"
"1006","企鹅","1;2","2","module/mc/main/sound/animal/1/s1006.swf;module/mc/main/sound/animal/2/s1006.swf","default","randomize-listed-variants"
"1007","乌龟","2","1","module/mc/main/sound/animal/2/s1007.swf","available-only","use-listed-variants-only"
"1008","松鼠","1;2","2","module/mc/main/sound/animal/1/s1008.swf;module/mc/main/sound/animal/2/s1008.swf","default","randomize-listed-variants"
"1009","波斯猫","1;2","2","module/mc/main/sound/animal/1/s1009.swf;module/mc/main/sound/animal/2/s1009.swf","default","randomize-listed-variants"
"1010","仓鼠","","0","","excluded","no-sound"
"1011","刺猬","1;2","2","module/mc/main/sound/animal/1/s1011.swf;module/mc/main/sound/animal/2/s1011.swf","default","randomize-listed-variants"
"1012","鸭","1;2","2","module/mc/main/sound/animal/1/s1012.swf;module/mc/main/sound/animal/2/s1012.swf","default","randomize-listed-variants"
"1013","鼹鼠","1;2","2","module/mc/main/sound/animal/1/s1013.swf;module/mc/main/sound/animal/2/s1013.swf","default","randomize-listed-variants"
"1014","挪威森林猫","1;2","2","module/mc/main/sound/animal/1/s1014.swf;module/mc/main/sound/animal/2/s1014.swf","default","randomize-listed-variants"
"1015","乌骨鸡","2","1","module/mc/main/sound/animal/2/s1015.swf","available-only","use-listed-variants-only"
"1016","美国短毛猫","2","1","module/mc/main/sound/animal/2/s1016.swf","available-only","use-listed-variants-only"
"1017","炫舞龟","","0","","excluded","no-sound"
"1018","穿山甲","2","1","module/mc/main/sound/animal/2/s1018.swf","available-only","use-listed-variants-only"
"1019","紫貂","1;2","2","module/mc/main/sound/animal/1/s1019.swf;module/mc/main/sound/animal/2/s1019.swf","default","randomize-listed-variants"
"1501","羊","1;2","2","module/mc/main/sound/animal/1/s1501.swf;module/mc/main/sound/animal/2/s1501.swf","default","randomize-listed-variants"
"1502","牛","1;2","2","module/mc/main/sound/animal/1/s1502.swf;module/mc/main/sound/animal/2/s1502.swf","default","randomize-listed-variants"
"1503","猴子","1;2","2","module/mc/main/sound/animal/1/s1503.swf;module/mc/main/sound/animal/2/s1503.swf","default","randomize-listed-variants"
"1504","袋鼠","1;2","2","module/mc/main/sound/animal/1/s1504.swf;module/mc/main/sound/animal/2/s1504.swf","default","randomize-listed-variants"
"1505","梅花鹿","1;2","2","module/mc/main/sound/animal/1/s1505.swf;module/mc/main/sound/animal/2/s1505.swf","default","randomize-listed-variants"
"1507","羚羊","1;2","2","module/mc/main/sound/animal/1/s1507.swf;module/mc/main/sound/animal/2/s1507.swf","default","randomize-listed-variants"
"1508","鸵鸟","1;2","2","module/mc/main/sound/animal/1/s1508.swf;module/mc/main/sound/animal/2/s1508.swf","default","randomize-listed-variants"
"1509","浣熊","1;2","2","module/mc/main/sound/animal/1/s1509.swf;module/mc/main/sound/animal/2/s1509.swf","default","randomize-listed-variants"
"1510","长颈鹿","2","1","module/mc/main/sound/animal/2/s1510.swf","available-only","use-listed-variants-only"
"1511","丹顶鹤","1;2","2","module/mc/main/sound/animal/1/s1511.swf;module/mc/main/sound/animal/2/s1511.swf","default","randomize-listed-variants"
"1512","貔貅","2","1","module/mc/main/sound/animal/2/s1512.swf","available-only","use-listed-variants-only"
"1513","双峰驼","1;2","2","module/mc/main/sound/animal/1/s1513.swf;module/mc/main/sound/animal/2/s1513.swf","default","randomize-listed-variants"
"1514","犀牛","1;2","2","module/mc/main/sound/animal/1/s1514.swf;module/mc/main/sound/animal/2/s1514.swf","default","randomize-listed-variants"
"1515","猩猩","1;2","2","module/mc/main/sound/animal/1/s1515.swf;module/mc/main/sound/animal/2/s1515.swf","default","randomize-listed-variants"
"1516","河马","1;2","2","module/mc/main/sound/animal/1/s1516.swf;module/mc/main/sound/animal/2/s1516.swf","default","randomize-listed-variants"
"1517","火烈鸟","1;2","2","module/mc/main/sound/animal/1/s1517.swf;module/mc/main/sound/animal/2/s1517.swf","default","randomize-listed-variants"
