"source_id","name","source_character_id","symbol_class","role_kind","runtime_status"
"1001","鸡","168","Animal_1001_1","runtime-state","1"
"1001","鸡","134","Animal_1001_3","runtime-state","3"
"1001","鸡","133","a1001_fla.j_43","internal-helper",""
"1001","鸡","114","Animal_1001_4","runtime-state","4"
"1001","鸡","110","Animal_1001_5","runtime-state","5"
"1001","鸡","106","Animal_1001_6","runtime-state","6"
"1001","鸡","41","Animal_1001_2","runtime-state","2"
"1002","兔子","236","Animal_1002_5","runtime-state","5"
"1002","兔子","234","a1002_fla.t_6","internal-helper",""
"1002","兔子","233","a1002_fla.t_2","internal-helper",""
"1002","兔子","232","Animal_1002_3","runtime-state","3"
"1002","兔子","213","a1002_fla.Timeline_24","internal-helper",""
"1002","兔子","185","a1002_fla.t_22","internal-helper",""
"1002","兔子","173","a1002_fla.t_21","internal-helper",""
"1002","兔子","162","Animal_1002_4","runtime-state","4"
"1002","兔子","156","Animal_1002_6","runtime-state","6"
"1002","兔子","151","a1002_fla.t_43","internal-helper",""
"1002","兔子","141","a1002_fla.t_41","internal-helper",""
"1002","兔子","130","Animal_1002_2","runtime-state","2"
"1002","兔子","106","a1002_fla.t_48","internal-helper",""
"1002","兔子","97","a1002_fla.t_47","internal-helper",""
"1002","兔子","89","Animal_1002_1","runtime-state","1"
"1002","兔子","61","Crop_3_Seed","internal-helper",""
"1002","兔子","40","a1002_fla.t_53","internal-helper",""
"1002","兔子","22","a1002_fla.t_52","internal-helper",""
"1007","乌龟","132","Animal_1007_3","runtime-state","3"
"1007","乌龟","131","a1007_fla.Turtle_17","internal-helper",""
"1007","乌龟","125","a1007_fla.Turtle_20","internal-helper",""
"1007","乌龟","107","Animal_1007_5","runtime-state","5"
"1007","乌龟","103","Animal_1007_6","runtime-state","6"
"1007","乌龟","102","a1007_fla.Turtle_32","internal-helper",""
"1007","乌龟","98","a1007_fla.Turtle_31","internal-helper",""
"1007","乌龟","97","a1007_fla.Turtle_28","internal-helper",""
"1007","乌龟","88","Animal_1007_2","runtime-state","2"
"1007","乌龟","75","Animal_1007_1","runtime-state","1"
"1007","乌龟","30","Animal_1007_4","runtime-state","4"
"1017","炫舞龟","113","Animal_1017_1","runtime-state","1"
"1017","炫舞龟","84","Animal_1017_2","runtime-state","2"
"1017","炫舞龟","80","Animal_1017_5","runtime-state","5"
"1017","炫舞龟","71","Animal_1017_3","runtime-state","3"
"1017","炫舞龟","68","a1017_fla.Timeline_22","internal-helper",""
"1017","炫舞龟","45","Animal_1017_6","runtime-state","6"
"1017","炫舞龟","10","Animal_1017_4","runtime-state","4"
"1505","梅花鹿","226","Animal_1505_6","runtime-state","6"
"1505","梅花鹿","208","Animal_1505_3","runtime-state","3"
"1505","梅花鹿","207","a1505_fla.deer_42","internal-helper",""
"1505","梅花鹿","165","Animal_1505_4","runtime-state","4"
"1505","梅花鹿","156","Animal_1505_5","runtime-state","5"
"1505","梅花鹿","134","Animal_1505_2","runtime-state","2"
"1505","梅花鹿","66","Animal_1505_1","runtime-state","1"
"1008","松鼠","238","Animal_1008_3","runtime-state","3"
"1008","松鼠","237","a1008_fla.SONGSHUFENCENGXIANshenbvchan_34","internal-helper",""
"1008","松鼠","211","Animal_1008_5","runtime-state","5"
"1008","松鼠","195","Animal_1008_6","runtime-state","6"
"1008","松鼠","155","Animal_1008_2","runtime-state","2"
"1008","松鼠","103","Animal_1008_1","runtime-state","1"
"1008","松鼠","31","Animal_1008_4","runtime-state","4"
"1009","波斯猫","143","Animal_1009_1","runtime-state","1"
"1009","波斯猫","117","Animal_1009_2","runtime-state","2"
"1009","波斯猫","81","Animal_1009_6","runtime-state","6"
"1009","波斯猫","71","Animal_1009_5","runtime-state","5"
"1009","波斯猫","64","Animal_1009_3","runtime-state","3"
"1009","波斯猫","62","a1009_fla.Timeline_49","internal-helper",""
"1009","波斯猫","16","Animal_1009_4","runtime-state","4"
"1012","鸭","95","Animal_1012_6","runtime-state","6"
"1012","鸭","90","Animal_1012_3","runtime-state","3"
"1012","鸭","89","a1012_fla.yz_9","internal-helper",""
"1012","鸭","78","Animal_1012_4","runtime-state","4"
"1012","鸭","75","Animal_1012_5","runtime-state","5"
"1012","鸭","58","Animal_1012_2","runtime-state","2"
"1012","鸭","14","Animal_1012_1","runtime-state","1"
"1015","乌骨鸡","102","Animal_1015_6","runtime-state","6"
"1015","乌骨鸡","88","Animal_1015_1","runtime-state","1"
"1015","乌骨鸡","77","Animal_1015_2","runtime-state","2"
"1015","乌骨鸡","66","Animal_1015_3","runtime-state","3"
"1015","乌骨鸡","65","a1015_fla.wj_22","internal-helper",""
"1015","乌骨鸡","41","Animal_1015_4","runtime-state","4"
"1015","乌骨鸡","38","Animal_1015_5","runtime-state","5"
"1507","羚羊","235","Animal_1507_4","runtime-state","4"
"1507","羚羊","233","Animal_1507_6","runtime-state","6"
"1507","羚羊","226","Animal_1507_3","runtime-state","3"
"1507","羚羊","225","a1507_fla.ly_113","internal-helper",""
"1507","羚羊","196","Animal_1507_5","runtime-state","5"
"1507","羚羊","144","Animal_1507_2","runtime-state","2"
"1507","羚羊","85","Animal_1507_1","runtime-state","1"
"1510","长颈鹿","285","Animal_1510_4","runtime-state","4"
"1510","长颈鹿","283","Animal_1510_6","runtime-state","6"
"1510","长颈鹿","275","Animal_1510_3","runtime-state","3"
"1510","长颈鹿","269","a1510_fla.Timeline_36","internal-helper",""
"1510","长颈鹿","252","Animal_1510_5","runtime-state","5"
"1510","长颈鹿","165","Animal_1510_2","runtime-state","2"
"1510","长颈鹿","94","Animal_1510_1","runtime-state","1"
"1010","仓鼠","189","Animal_1010_1","runtime-state","1"
"1010","仓鼠","185","Animal_1010_2","runtime-state","2"
"1010","仓鼠","157","Animal_1010_5","runtime-state","5"
"1010","仓鼠","147","Animal_1010_3","runtime-state","3"
"1010","仓鼠","146","a1010_fla.r_74","internal-helper",""
"1010","仓鼠","118","Animal_1010_6","runtime-state","6"
"1010","仓鼠","36","Animal_1010_4","runtime-state","4"
"1013","鼹鼠","95","Animal_1013_4","runtime-state","4"
"1013","鼹鼠","93","Animal_1013_1","runtime-state","1"
"1013","鼹鼠","71","Animal_1013_2","runtime-state","2"
"1013","鼹鼠","70","Animal_1013_3","runtime-state","3"
"1013","鼹鼠","69","a1013_fla.czggzh_23","internal-helper",""
"1013","鼹鼠","49","Animal_1013_5","runtime-state","5"
"1013","鼹鼠","37","Animal_1013_6","runtime-state","6"
"1508","鸵鸟","166","Animal_1508_1","runtime-state","1"
"1508","鸵鸟","155","Animal_1508_2","runtime-state","2"
"1508","鸵鸟","138","Animal_1508_5","runtime-state","5"
"1508","鸵鸟","120","Animal_1508_3","runtime-state","3"
"1508","鸵鸟","119","a1508_fla.o_42","internal-helper",""
"1508","鸵鸟","90","Animal_1508_6","runtime-state","6"
"1508","鸵鸟","31","Animal_1508_4","runtime-state","4"
"1501","羊","336","Animal_1501_2","runtime-state","2"
"1501","羊","335","a1501_fla.Timeline_20","internal-helper",""
"1501","羊","333","a1501_fla.Timeline_9","internal-helper",""
"1501","羊","303","a1501_fla.Timeline_2","internal-helper",""
"1501","羊","276","Animal_1501_3","runtime-state","3"
"1501","羊","275","a1501_fla.Timeline_42","internal-helper",""
"1501","羊","274","a1501_fla.Timeline_48","internal-helper",""
"1501","羊","272","a1501_fla.Timeline_47","internal-helper",""
"1501","羊","267","a1501_fla.Timeline_46","internal-helper",""
"1501","羊","254","a1501_fla.Timeline_41","internal-helper",""
"1501","羊","245","Animal_1501_4","runtime-state","4"
"1501","羊","237","Animal_1501_5","runtime-state","5"
"1501","羊","236","a1501_fla.Timeline_59","internal-helper",""
"1501","羊","234","a1501_fla.Timeline_56","internal-helper",""
"1501","羊","219","a1501_fla.Timeline_53","internal-helper",""
"1501","羊","212","Animal_1501_6","runtime-state","6"
"1501","羊","211","a1501_fla.Timeline_65","internal-helper",""
"1501","羊","187","a1501_fla.Timeline_24","internal-helper",""
"1501","羊","184","a1501_fla.Timeline_22","internal-helper",""
"1501","羊","181","a1501_fla.Timeline_66","internal-helper",""
"1501","羊","109","Animal_1501_1","runtime-state","1"
"1501","羊","88","a1501_fla.Timeline_70","internal-helper",""
"1501","羊","42","a1501_fla.Timeline_68","internal-helper",""
"1501","羊","10","a1501_fla.Timeline_13","internal-helper",""
"1501","羊","7","a1501_fla.Timeline_15","internal-helper",""
"1011","刺猬","152","Animal_1011_6","runtime-state","6"
"1011","刺猬","140","Animal_1011_5","runtime-state","5"
"1011","刺猬","130","Animal_1011_4","runtime-state","4"
"1011","刺猬","127","Animal_1011_3","runtime-state","3"
"1011","刺猬","126","a1011_fla.Timeline_21","internal-helper",""
"1011","刺猬","55","Animal_1011_2","runtime-state","2"
"1011","刺猬","47","Animal_1011_1","runtime-state","1"
"1014","挪威森林猫","141","Animal_1014_6","runtime-state","6"
"1014","挪威森林猫","131","Animal_1014_5","runtime-state","5"
"1014","挪威森林猫","127","Animal_1014_3","runtime-state","3"
"1014","挪威森林猫","126","a1014_fla.Timeline_63","internal-helper",""
"1014","挪威森林猫","97","Animal_1014_2","runtime-state","2"
"1014","挪威森林猫","92","Animal_1014_1","runtime-state","1"
"1014","挪威森林猫","38","Animal_1014_4","runtime-state","4"
"1509","浣熊","206","Animal_1509_1","runtime-state","1"
"1509","浣熊","178","Animal_1509_2","runtime-state","2"
"1509","浣熊","123","Animal_1509_3","runtime-state","3"
"1509","浣熊","122","a1509_fla.hx_73","internal-helper",""
"1509","浣熊","99","Animal_1509_4","runtime-state","4"
"1509","浣熊","95","Animal_1509_5","runtime-state","5"
"1509","浣熊","90","Animal_1509_6","runtime-state","6"
"1016","美国短毛猫","94","Animal_1016_6","runtime-state","6"
"1016","美国短毛猫","86","Animal_1016_5","runtime-state","5"
"1016","美国短毛猫","82","Animal_1016_3","runtime-state","3"
"1016","美国短毛猫","81","a1016_fla.mao_15","internal-helper",""
"1016","美国短毛猫","66","Animal_1016_2","runtime-state","2"
"1016","美国短毛猫","54","Animal_1016_1","runtime-state","1"
"1016","美国短毛猫","13","Animal_1016_4","runtime-state","4"
"1511","丹顶鹤","286","Animal_1511_1","runtime-state","1"
"1511","丹顶鹤","243","Animal_1511_2","runtime-state","2"
"1511","丹顶鹤","166","Animal_1511_5","runtime-state","5"
"1511","丹顶鹤","142","Animal_1511_3","runtime-state","3"
"1511","丹顶鹤","141","a1511_fla.c_65","internal-helper",""
"1511","丹顶鹤","93","Animal_1511_6","runtime-state","6"
"1511","丹顶鹤","24","Animal_1511_4","runtime-state","4"
"1513","双峰驼","67","Animal_1513_4","runtime-state","4"
"1513","双峰驼","65","Animal_1513_1","runtime-state","1"
"1513","双峰驼","59","Animal_1513_2","runtime-state","2"
"1513","双峰驼","55","Animal_1513_3","runtime-state","3"
"1513","双峰驼","54","a1513_fla.11111111_23","internal-helper",""
"1513","双峰驼","32","Animal_1513_5","runtime-state","5"
"1513","双峰驼","28","Animal_1513_6","runtime-state","6"
"1514","犀牛","84","Animal_1514_6","runtime-state","6"
"1514","犀牛","74","Animal_1514_5","runtime-state","5"
"1514","犀牛","68","Animal_1514_4","runtime-state","4"
"1514","犀牛","65","Animal_1514_3","runtime-state","3"
"1514","犀牛","64","a1514_fla.Timeline_15","internal-helper",""
"1514","犀牛","43","Animal_1514_2","runtime-state","2"
"1514","犀牛","34","Animal_1514_1","runtime-state","1"
"1018","穿山甲","86","Animal_1018_6","runtime-state","6"
"1018","穿山甲","80","Animal_1018_5","runtime-state","5"
"1018","穿山甲","76","Animal_1018_4","runtime-state","4"
"1018","穿山甲","73","Animal_1018_3","runtime-state","3"
"1018","穿山甲","72","a1018_fla.chuanshanjia_zhua_30","internal-helper",""
"1018","穿山甲","52","Animal_1018_2","runtime-state","2"
"1018","穿山甲","31","Animal_1018_1","runtime-state","1"
"1515","猩猩","54","Animal_1515_6","runtime-state","6"
"1515","猩猩","46","Animal_1515_5","runtime-state","5"
"1515","猩猩","42","Animal_1515_3","runtime-state","3"
"1515","猩猩","41","a1515_fla.Timeline_16","internal-helper",""
"1515","猩猩","27","Animal_1515_2","runtime-state","2"
"1515","猩猩","23","Animal_1515_1","runtime-state","1"
"1515","猩猩","14","Animal_1515_4","runtime-state","4"
"1003","鹅","121","Animal_1003_1","runtime-state","1"
"1003","鹅","104","Animal_1003_2","runtime-state","2"
"1003","鹅","88","Animal_1003_3","runtime-state","3"
"1003","鹅","87","a1003_fla.swan_35","internal-helper",""
"1003","鹅","55","Animal_1003_5","runtime-state","5"
"1003","鹅","47","Animal_1003_6","runtime-state","6"
"1003","鹅","18","Animal_1003_4","runtime-state","4"
"1516","河马","92","Animal_1516_6","runtime-state","6"
"1516","河马","86","Animal_1516_5","runtime-state","5"
"1516","河马","82","Animal_1516_4","runtime-state","4"
"1516","河马","80","Animal_1516_3","runtime-state","3"
"1516","河马","79","a1516_fla.hema_zhua_29","internal-helper",""
"1516","河马","52","Animal_1516_1","runtime-state","1"
"1516","河马","42","Animal_1516_2","runtime-state","2"
"1517","火烈鸟","104","Animal_1517_4","runtime-state","4"
"1517","火烈鸟","102","Animal_1517_1","runtime-state","1"
"1517","火烈鸟","97","Animal_1517_2","runtime-state","2"
"1517","火烈鸟","72","Animal_1517_3","runtime-state","3"
"1517","火烈鸟","71","a1517_fla.f_29","internal-helper",""
"1517","火烈鸟","51","Animal_1517_5","runtime-state","5"
"1517","火烈鸟","47","Animal_1517_6","runtime-state","6"
"1019","紫貂","121","Animal_1019_1","runtime-state","1"
"1019","紫貂","116","Animal_1019_3","runtime-state","3"
"1019","紫貂","115","a1019_fla.s_42","internal-helper",""
"1019","紫貂","90","Animal_1019_4","runtime-state","4"
"1019","紫貂","84","Animal_1019_6","runtime-state","6"
"1019","紫貂","70","Animal_1019_5","runtime-state","5"
"1019","紫貂","64","Animal_1019_2","runtime-state","2"
"1502","牛","395","Animal_1502_1","runtime-state","1"
"1502","牛","341","Animal_1502_2","runtime-state","2"
"1502","牛","263","Animal_1502_3","runtime-state","3"
"1502","牛","262","a1502_fla.Timeline_22","internal-helper",""
"1502","牛","183","Animal_1502_4","runtime-state","4"
"1502","牛","174","Animal_1502_5","runtime-state","5"
"1502","牛","116","Animal_1502_6","runtime-state","6"
"1004","猫","367","Animal_1004_1","runtime-state","1"
"1004","猫","300","Animal_1004_2","runtime-state","2"
"1004","猫","236","Animal_1004_3","runtime-state","3"
"1004","猫","235","a1004_fla.Timeline_110","internal-helper",""
"1004","猫","156","Animal_1004_5","runtime-state","5"
"1004","猫","102","Animal_1004_6","runtime-state","6"
"1004","猫","33","Animal_1004_4","runtime-state","4"
"1512","貔貅","176","Animal_1512_1","runtime-state","1"
"1512","貔貅","159","Animal_1512_2","runtime-state","2"
"1512","貔貅","142","Animal_1512_4","runtime-state","4"
"1512","貔貅","141","Animal_1512_5","runtime-state","5"
"1512","貔貅","124","Animal_1512_6","runtime-state","6"
"1512","貔貅","102","Animal_1512_3","runtime-state","3"
"1512","貔貅","101","a1512_fla.Timeline_58","internal-helper",""
"1503","猴子","140","Animal_1503_1","runtime-state","1"
"1503","猴子","117","Animal_1503_2","runtime-state","2"
"1503","猴子","101","Animal_1503_5","runtime-state","5"
"1503","猴子","85","Animal_1503_6","runtime-state","6"
"1503","猴子","64","Animal_1503_3","runtime-state","3"
"1503","猴子","63","a1503_fla.monkey106_56","internal-helper",""
"1503","猴子","22","Animal_1503_4","runtime-state","4"
"1005","孔雀","188","Animal_1005_1","runtime-state","1"
"1005","孔雀","158","Animal_1005_2","runtime-state","2"
"1005","孔雀","124","Animal_1005_3","runtime-state","3"
"1005","孔雀","123","a1005_fla.peafowl_67","internal-helper",""
"1005","孔雀","99","Animal_1005_5","runtime-state","5"
"1005","孔雀","69","Animal_1005_6","runtime-state","6"
"1005","孔雀","25","Animal_1005_4","runtime-state","4"
"1504","袋鼠","281","Animal_1504_1","runtime-state","1"
"1504","袋鼠","263","a1504_fla.Kangaroo_9","internal-helper",""
"1504","袋鼠","248","a1504_fla.Timeline_2","internal-helper",""
"1504","袋鼠","234","Animal_1504_2","runtime-state","2"
"1504","袋鼠","221","a1504_fla.Kangaroo_37","internal-helper",""
"1504","袋鼠","199","a1504_fla.Kangaroo_24","internal-helper",""
"1504","袋鼠","177","Animal_1504_5","runtime-state","5"
"1504","袋鼠","175","a1504_fla.Kangaroo_61","internal-helper",""
