"source_id","name","original_level","purchase_price","product_price","byproduct_price","base_yield","consume","cub_seconds","maturity_seconds","production_seconds","source_swf","source_bytes","source_sha256","primary_class","primary_sprite_id","symbol_classes","swf_parse_error","processing_status"
"1001","鸡","0","700","860","17","20","1","14400","28800","129600","module/mc/main/animal/a1001.swf","30137","91cabf6c79a619f515a4179dd7a502bafb6629de128cccec1c2c04a878dc80af","Animal_1001_1","168","168:Animal_1001_1,134:Animal_1001_3,133:a1001_fla.j_43,114:Animal_1001_4,110:Animal_1001_5,106:Animal_1001_6,41:Animal_1001_2",,"mapped-not-extracted"
"1002","兔子","1","1200","1460","39","12","2","18000","36000","129600","module/mc/main/animal/a1002.swf","37144","7c07631c609a24e91d967eb0d6ce2f2e6a2f7edee56b85af41f1af50f21228b2","Animal_1002_5","236","236:Animal_1002_5,234:a1002_fla.t_6,233:a1002_fla.t_2,232:Animal_1002_3,213:a1002_fla.Timeline_24,185:a1002_fla.t_22,173:a1002_fla.t_21,162:Animal_1002_4,156:Animal_1002_6,151:a1002_fla.t_43,141:a1002_fla.t_41,130:Animal_1002_2,106:a1002_fla.t_48,97:a1002_fla.t_47,89:Animal_1002_1,61:Crop_3_Seed,40:a1002_fla.t_53,22:a1002_fla.t_52",,"mapped-not-extracted"
"1501","羊","2","2000","2860","29","24","3","27000","54000","172800","module/mc/main/animal/a1501.swf","33661","6930f4c33276858f96078efd384a391f7cbc832fb6f7fd8e5c75f7c2f936e9e8","Animal_1501_2","336","336:Animal_1501_2,335:a1501_fla.Timeline_20,333:a1501_fla.Timeline_9,303:a1501_fla.Timeline_2,276:Animal_1501_3,275:a1501_fla.Timeline_42,274:a1501_fla.Timeline_48,272:a1501_fla.Timeline_47,267:a1501_fla.Timeline_46,254:a1501_fla.Timeline_41,245:Animal_1501_4,237:Animal_1501_5,236:a1501_fla.Timeline_59,234:a1501_fla.Timeline_56,219:a1501_fla.Timeline_53,212:Animal_1501_6,211:a1501_fla.Timeline_65,187:a1501_fla.Timeline_24,184:a1501_fla.Timeline_22,181:a1501_fla.Timeline_66,109:Animal_1501_1,88:a1501_fla.Timeline_70,42:a1501_fla.Timeline_68,10:a1501_fla.Timeline_13,7:a1501_fla.Timeline_15",,"mapped-not-extracted"
"1003","鹅","3","900","1850","19","20","3","16200","32400","144000","module/mc/main/animal/a1003.swf","39845","26e56a7df4ed420fcd0f369a5f83af704e752d92aadcba882437d402905ced9a","Animal_1003_1","121","121:Animal_1003_1,104:Animal_1003_2,88:Animal_1003_3,87:a1003_fla.swan_35,55:Animal_1003_5,47:Animal_1003_6,18:Animal_1003_4",,"mapped-not-extracted"
"1502","牛","4","3000","4260","55","12","4","32400","64800","216000","module/mc/main/animal/a1502.swf","65725","480a278fe701e3bc6431ea5cb25b9e1721edafb4ea3c326f6df04b9798e6492b","Animal_1502_1","395","395:Animal_1502_1,341:Animal_1502_2,263:Animal_1502_3,262:a1502_fla.Timeline_22,183:Animal_1502_4,174:Animal_1502_5,116:Animal_1502_6",,"mapped-not-extracted"
"1004","猫","5","3200","4060","56","12","2","34200","68400","216000","module/mc/main/animal/a1004.swf","64774","5b9ef1d1f1e079a57f9b0f3d27359ff868bbfbbbc5c970e644c4dfd8c483f1db","Animal_1004_1","367","367:Animal_1004_1,300:Animal_1004_2,236:Animal_1004_3,235:a1004_fla.Timeline_110,156:Animal_1004_5,102:Animal_1004_6,33:Animal_1004_4",,"mapped-not-extracted"
"1503","猴子","6","4000","5260","58","12","3","36000","72000","216000","module/mc/main/animal/a1503.swf","24701","dd414eb20b78d8e4878b032aee99169abba60afba78b1963127708698b6666d1","Animal_1503_1","140","140:Animal_1503_1,117:Animal_1503_2,101:Animal_1503_5,85:Animal_1503_6,64:Animal_1503_3,63:a1503_fla.monkey106_56,22:Animal_1503_4",,"mapped-not-extracted"
"1005","孔雀","7","5000","6060","35","24","3","37800","75600","237600","module/mc/main/animal/a1005.swf","54710","5d2d22ce2ec2deefb51a746d417c0248f8530313fe9719ee3e0f3673f7d5fdad","Animal_1005_1","188","188:Animal_1005_1,158:Animal_1005_2,124:Animal_1005_3,123:a1005_fla.peafowl_67,99:Animal_1005_5,69:Animal_1005_6,25:Animal_1005_4",,"mapped-not-extracted"
"1504","袋鼠","8","8000","9860","64","12","4","39600","79200","237600","module/mc/main/animal/a1504.swf","50887","33e2afd7a87505aefb2c9946edae29a8b2900f5b5da2436623d9f029b27e45b5","Animal_1504_1","281","281:Animal_1504_1,263:a1504_fla.Kangaroo_9,248:a1504_fla.Timeline_2,234:Animal_1504_2,221:a1504_fla.Kangaroo_37,199:a1504_fla.Kangaroo_24,177:Animal_1504_5,175:a1504_fla.Kangaroo_61,173:a1504_fla.Kangaroo_52,170:Animal_1504_6,158:a1504_fla.Kangaroo_75,138:a1504_fla.Kangaroo_72,127:Animal_1504_3,126:a1504_fla.Timeline_116,83:a1504_fla.Kangaroo_98,81:a1504_fla.Kangaroo_83,48:Animal_1504_4",,"mapped-not-extracted"
"1006","企鹅","9","10000","11860","68","16","3","41400","82800","259200","module/mc/main/animal/a1006.swf","30619","2b58902aa467766cce58457de21ef3fadc70a767348e7e59db5d12856289a51e","Animal_1006_3","132","132:Animal_1006_3,131:a1006_fla.3_17,105:Animal_1006_5,100:Animal_1006_6,88:Animal_1006_2,65:Animal_1006_1,23:Animal_1006_4",,"mapped-not-extracted"
