"source_id","name","original_level","contact_sheet","state_rows","unique_character_count","duplicate_character_count","current_assets_checked","current_assets_exact","current_assets_mismatch","automated_status"
"2","白萝卜","0","contact-sheets/crops/crop-002.png","7","6","1","4","4","0","ready-for-visual-review"
"3","胡萝卜","0","contact-sheets/crops/crop-003.png","7","6","1","4","4","0","ready-for-visual-review"
"40","牧草","0","contact-sheets/crops/crop-040.png","7","6","1","0","0","0","ready-for-visual-review"
"81","圣诞树","0","contact-sheets/crops/crop-081.png","7","7","0","0","0","0","ready-for-visual-review"
"59","大白菜","1","contact-sheets/crops/crop-059.png","7","7","0","4","4","0","ready-for-visual-review"
"1","草莓","10","contact-sheets/crops/crop-001.png","7","7","0","0","0","0","ready-for-visual-review"
"104","非洲菊","10","contact-sheets/crops/crop-104.png","7","7","0","0","0","0","ready-for-visual-review"
"11","苹果","10","contact-sheets/crops/crop-011.png","7","7","0","0","0","0","ready-for-visual-review"
"62","四叶草","10","contact-sheets/crops/crop-062.png","7","7","0","0","0","0","ready-for-visual-review"
"111","粉玫瑰","11","contact-sheets/crops/crop-111.png","7","7","0","0","0","0","ready-for-visual-review"
"14","西瓜","11","contact-sheets/crops/crop-014.png","7","7","0","0","0","0","ready-for-visual-review"
"70","黄豆","11","contact-sheets/crops/crop-070.png","7","7","0","0","0","0","ready-for-visual-review"
"112","风信子","12","contact-sheets/crops/crop-112.png","7","7","0","0","0","0","ready-for-visual-review"
"118","水仙花","12","contact-sheets/crops/crop-118.png","7","7","0","0","0","0","ready-for-visual-review"
"15","香蕉","12","contact-sheets/crops/crop-015.png","7","7","0","0","0","0","ready-for-visual-review"
"109","蝴蝶兰","13","contact-sheets/crops/crop-109.png","7","7","0","0","0","0","ready-for-visual-review"
"18","桃子","13","contact-sheets/crops/crop-018.png","7","7","0","0","0","0","ready-for-visual-review"
"47","甘蔗","13","contact-sheets/crops/crop-047.png","7","7","0","0","0","0","ready-for-visual-review"
"113","栀子花","14","contact-sheets/crops/crop-113.png","7","7","0","0","0","0","ready-for-visual-review"
"19","橙子","14","contact-sheets/crops/crop-019.png","7","7","0","0","0","0","ready-for-visual-review"
"25","银杏树苗","14","contact-sheets/crops/crop-025.png","7","7","0","0","0","0","ready-for-visual-review"
"67","香瓜","14","contact-sheets/crops/crop-067.png","7","7","0","0","0","0","ready-for-visual-review"
"82","摇钱树","14","contact-sheets/crops/crop-082.png","7","7","0","0","0","0","ready-for-visual-review"
"13","葡萄","15","contact-sheets/crops/crop-013.png","7","7","0","0","0","0","ready-for-visual-review"
"44","丝瓜","15","contact-sheets/crops/crop-044.png","7","7","0","0","0","0","ready-for-visual-review"
"46","爱心果","15","contact-sheets/crops/crop-046.png","7","7","0","0","0","0","ready-for-visual-review"
"72","榛子","15","contact-sheets/crops/crop-072.png","7","7","0","0","0","0","ready-for-visual-review"
"106","郁金香","16","contact-sheets/crops/crop-106.png","7","7","0","0","0","0","ready-for-visual-review"
"23","石榴","16","contact-sheets/crops/crop-023.png","7","7","0","0","0","0","ready-for-visual-review"
"26","柚子","17","contact-sheets/crops/crop-026.png","7","7","0","0","0","0","ready-for-visual-review"
"50","蘑菇","17","contact-sheets/crops/crop-050.png","7","6","1","0","0","0","ready-for-visual-review"
"102","马蹄莲","18","contact-sheets/crops/crop-102.png","7","7","0","0","0","0","ready-for-visual-review"
"27","菠萝","18","contact-sheets/crops/crop-027.png","7","7","0","0","0","0","ready-for-visual-review"
"114","蓝玫瑰","19","contact-sheets/crops/crop-114.png","7","7","0","0","0","0","ready-for-visual-review"
"29","椰子","19","contact-sheets/crops/crop-029.png","7","7","0","0","0","0","ready-for-visual-review"
"49","花生","19","contact-sheets/crops/crop-049.png","7","7","0","0","0","0","ready-for-visual-review"
"69","莴笋","19","contact-sheets/crops/crop-069.png","7","7","0","0","0","0","ready-for-visual-review"
"60","水稻","2","contact-sheets/crops/crop-060.png","7","7","0","4","4","0","ready-for-visual-review"
"61","小麦","2","contact-sheets/crops/crop-061.png","7","7","0","4","4","0","ready-for-visual-review"
"101","薰衣草","20","contact-sheets/crops/crop-101.png","7","7","0","0","0","0","ready-for-visual-review"
"31","葫芦","20","contact-sheets/crops/crop-031.png","7","7","0","0","0","0","ready-for-visual-review"
"45","猕猴桃","20","contact-sheets/crops/crop-045.png","7","7","0","0","0","0","ready-for-visual-review"
"54","梨","20","contact-sheets/crops/crop-054.png","7","7","0","0","0","0","ready-for-visual-review"
"107","仙人掌","21","contact-sheets/crops/crop-107.png","7","7","0","0","0","0","ready-for-visual-review"
"33","火龙果","21","contact-sheets/crops/crop-033.png","7","7","0","0","0","0","ready-for-visual-review"
"55","枇杷","21","contact-sheets/crops/crop-055.png","7","7","0","0","0","0","ready-for-visual-review"
"108","铃兰","22","contact-sheets/crops/crop-108.png","7","7","0","0","0","0","ready-for-visual-review"
"34","樱桃","22","contact-sheets/crops/crop-034.png","7","7","0","0","0","0","ready-for-visual-review"
"35","荔枝","23","contact-sheets/crops/crop-035.png","7","7","0","0","0","0","ready-for-visual-review"
"38","木瓜","24","contact-sheets/crops/crop-038.png","7","7","0","0","0","0","ready-for-visual-review"
"53","桂圆","24","contact-sheets/crops/crop-053.png","7","7","0","0","0","0","ready-for-visual-review"
"39","杨桃","25","contact-sheets/crops/crop-039.png","7","7","0","0","0","0","ready-for-visual-review"
"92","稀世琉璃果","25","contact-sheets/crops/crop-092.png","7","7","0","0","0","0","ready-for-visual-review"
"93","炫舞之星","25","contact-sheets/crops/crop-093.png","7","7","0","0","0","0","ready-for-visual-review"
"94","海洋之心","25","contact-sheets/crops/crop-094.png","7","7","0","0","0","0","ready-for-visual-review"
"125","太阳花","26","contact-sheets/crops/crop-125.png","7","7","0","0","0","0","ready-for-visual-review"
"42","柠檬","26","contact-sheets/crops/crop-042.png","7","7","0","0","0","0","ready-for-visual-review"
"57","芒果","26","contact-sheets/crops/crop-057.png","7","7","0","0","0","0","ready-for-visual-review"
"48","杨梅","27","contact-sheets/crops/crop-048.png","7","7","0","0","0","0","ready-for-visual-review"
"58","榴莲","27","contact-sheets/crops/crop-058.png","7","7","0","0","0","0","ready-for-visual-review"
"56","哈密瓜","28","contact-sheets/crops/crop-056.png","7","7","0","0","0","0","ready-for-visual-review"
"79","番石榴","28","contact-sheets/crops/crop-079.png","7","7","0","0","0","0","ready-for-visual-review"
"75","桑葚","29","contact-sheets/crops/crop-075.png","7","7","0","0","0","0","ready-for-visual-review"
"77","蓝莓","29","contact-sheets/crops/crop-077.png","7","7","0","0","0","0","ready-for-visual-review"
"4","玉米","3","contact-sheets/crops/crop-004.png","7","7","0","4","4","0","ready-for-visual-review"
"76","山竹","30","contact-sheets/crops/crop-076.png","7","7","0","0","0","0","ready-for-visual-review"
"80","月柿","30","contact-sheets/crops/crop-080.png","7","7","0","0","0","0","ready-for-visual-review"
"63","苦瓜","31","contact-sheets/crops/crop-063.png","7","7","0","0","0","0","ready-for-visual-review"
"68","冬瓜","32","contact-sheets/crops/crop-068.png","7","7","0","0","0","0","ready-for-visual-review"
"78","杏子","33","contact-sheets/crops/crop-078.png","7","7","0","0","0","0","ready-for-visual-review"
"74","金桔","34","contact-sheets/crops/crop-074.png","7","7","0","0","0","0","ready-for-visual-review"
"83","红毛丹","35","contact-sheets/crops/crop-083.png","7","7","0","0","0","0","ready-for-visual-review"
"84","芭蕉","36","contact-sheets/crops/crop-084.png","7","7","0","0","0","0","ready-for-visual-review"
"85","番荔枝","37","contact-sheets/crops/crop-085.png","7","7","0","0","0","0","ready-for-visual-review"
"86","橄榄","38","contact-sheets/crops/crop-086.png","7","7","0","0","0","0","ready-for-visual-review"
"87","百香果","39","contact-sheets/crops/crop-087.png","7","7","0","0","0","0","ready-for-visual-review"
"5","土豆","4","contact-sheets/crops/crop-005.png","7","7","0","4","4","0","ready-for-visual-review"
"51","红枣","5","contact-sheets/crops/crop-051.png","7","7","0","0","0","0","ready-for-visual-review"
"6","茄子","5","contact-sheets/crops/crop-006.png","7","7","0","4","4","0","ready-for-visual-review"
"105","小雏菊","6","contact-sheets/crops/crop-105.png","7","7","0","0","0","0","ready-for-visual-review"
"7","番茄","6","contact-sheets/crops/crop-007.png","7","7","0","4","4","0","ready-for-visual-review"
"41","红玫瑰","7","contact-sheets/crops/crop-041.png","7","7","0","0","0","0","ready-for-visual-review"
"8","豌豆","7","contact-sheets/crops/crop-008.png","7","7","0","4","4","0","ready-for-visual-review"
"103","天香百合","8","contact-sheets/crops/crop-103.png","7","7","0","0","0","0","ready-for-visual-review"
"9","辣椒","8","contact-sheets/crops/crop-009.png","7","7","0","4","4","0","ready-for-visual-review"
"10","南瓜","9","contact-sheets/crops/crop-010.png","7","7","0","4","4","0","ready-for-visual-review"
