"source_id","name","current_id","current_stage","current_stage_name","linked_state_index","linked_state_key","linked_state_label","source_character_id","source_relationship","source_export_file","source_sha256","source_hash_match_count","source_hash_matching_character_ids","current_asset","current_sha256","match_status","visual_review_status"
"2","白萝卜","radish","0","seed","0","seed","种子","2","state-character","Crop_2.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","1","2","assets/manor/classic/crop-radish-0.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","exact","reviewed-ok"
"2","白萝卜","radish","1","sprout","1","sprout","发芽","4","state-character","Crop_2.swf/DefineSprite_4/1.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","1","4","assets/manor/classic/crop-radish-1.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","exact","reviewed-ok"
"2","白萝卜","radish","2","growing","3","growing","生长","8","state-character","Crop_2.swf/DefineSprite_8/1.png","189fa60aec1a9609d3b1bcaa34d985331fd82f26fadb4c9b75c8e948d520f9d5","1","8","assets/manor/classic/crop-radish-2.png","189fa60aec1a9609d3b1bcaa34d985331fd82f26fadb4c9b75c8e948d520f9d5","exact","reviewed-ok"
"2","白萝卜","radish","3","mature","5","mature","成熟","17","state-character","Crop_2.swf/DefineSprite_17/1.png","1f32d2a374651f75531a6b3ec03fa19a04fe5e78e642c9fccad9c1903bc07c05","1","17","assets/manor/classic/crop-radish-3.png","1f32d2a374651f75531a6b3ec03fa19a04fe5e78e642c9fccad9c1903bc07c05","exact","reviewed-ok"
"3","胡萝卜","carrot","0","seed","0","seed","种子","2","state-character","Crop_3.swf/DefineSprite_2/1.png","0e04974b4e580ea85ea6caf89b457bf3a20e1fa43abdf31e1f8f95a65fdcbe1e","1","2","assets/manor/classic/crop-carrot-0.png","0e04974b4e580ea85ea6caf89b457bf3a20e1fa43abdf31e1f8f95a65fdcbe1e","exact","reviewed-ok"
"3","胡萝卜","carrot","1","sprout","1","sprout","发芽","4","state-character","Crop_3.swf/DefineSprite_4/1.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","1","4","assets/manor/classic/crop-carrot-1.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","exact","reviewed-ok"
"3","胡萝卜","carrot","2","growing","3","growing","生长","8","state-character","Crop_3.swf/DefineSprite_8/1.png","e58d57eb0af9230ccdbbf0588b0c01e10ecc71785d223f19180acedc291a84f9","1","8","assets/manor/classic/crop-carrot-2.png","e58d57eb0af9230ccdbbf0588b0c01e10ecc71785d223f19180acedc291a84f9","exact","reviewed-ok"
"3","胡萝卜","carrot","3","mature","5","mature","成熟","20","state-character","Crop_3.swf/DefineSprite_20/1.png","dfcf41ae1a5af28b2936203a9ac8c7d1f7ed02fdb32f80efe743a81b74608ed3","1","20","assets/manor/classic/crop-carrot-3.png","dfcf41ae1a5af28b2936203a9ac8c7d1f7ed02fdb32f80efe743a81b74608ed3","exact","reviewed-ok"
"59","大白菜","cabbage","0","seed","0","seed","种子","2","state-character","Crop_59.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","1","2","assets/manor/classic/crop-cabbage-0.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","exact","reviewed-ok"
"59","大白菜","cabbage","1","sprout","1","sprout","发芽","4","state-character","Crop_59.swf/DefineSprite_4/1.png","d7e701b80deac1e700f3561765c8b22abb3d3274703b37ec565d5d1ece054d81","1","4","assets/manor/classic/crop-cabbage-1.png","d7e701b80deac1e700f3561765c8b22abb3d3274703b37ec565d5d1ece054d81","exact","reviewed-ok"
"59","大白菜","cabbage","2","growing","3","growing","生长","9","state-character","Crop_59.swf/DefineSprite_9/1.png","1a05b48b16bb1df8a52dc52ac6d082a67b74b271f359915d3d162af2ce79bc75","1","9","assets/manor/classic/crop-cabbage-2.png","1a05b48b16bb1df8a52dc52ac6d082a67b74b271f359915d3d162af2ce79bc75","exact","reviewed-ok"
"59","大白菜","cabbage","3","mature","5","mature","成熟","13","state-character","Crop_59.swf/DefineSprite_13/1.png","a9dd8614f59ea006fb153524b9914552e96aa5c34ed3568f7596ca8c7d48cf20","1","13","assets/manor/classic/crop-cabbage-3.png","a9dd8614f59ea006fb153524b9914552e96aa5c34ed3568f7596ca8c7d48cf20","exact","reviewed-ok"
"60","水稻","rice","0","seed","0","seed","种子","2","state-character","Crop_60.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","1","2","assets/manor/classic/crop-rice-0.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","exact","reviewed-ok"
"60","水稻","rice","1","sprout","2","young","幼苗","14","nested-character-of-state","Crop_60.swf/DefineSprite_14/1.png","a1a946fd6c9581cae15ba9f43d9bafe6649bbbfde9e016fb3e470b738fa552cd","1","14","assets/manor/classic/crop-rice-1.png","a1a946fd6c9581cae15ba9f43d9bafe6649bbbfde9e016fb3e470b738fa552cd","exact","reviewed-ok"
