"source_id","name","original_level","state_index","state_key","state_label","source_character_id","source_export_file","source_sha256","width","height","duplicate_character","current_stage","current_asset","current_source_character_id","current_source_export_file","current_source_relationship","current_sha256","current_match_status","visual_review_status"
"2","白萝卜","0","0","seed","种子","2","Crop_2.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","42","17","False","0","assets/manor/classic/crop-radish-0.png","2","Crop_2.swf/DefineSprite_2/1.png","state-character","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","exact","pending-contact-sheet-review"
"2","白萝卜","0","1","sprout","发芽","4","Crop_2.swf/DefineSprite_4/1.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","38","52","False","1","assets/manor/classic/crop-radish-1.png","4","Crop_2.swf/DefineSprite_4/1.png","state-character","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","exact","pending-contact-sheet-review"
"2","白萝卜","0","2","young","幼苗","6","Crop_2.swf/DefineSprite_6/1.png","1a157b205342ee2cf249a68c95ea332658b01111281264799b9ddf9b3c1ae0f3","48","50","False","","","","","","","not-current","pending-contact-sheet-review"
"2","白萝卜","0","3","growing","生长","8","Crop_2.swf/DefineSprite_8/1.png","189fa60aec1a9609d3b1bcaa34d985331fd82f26fadb4c9b75c8e948d520f9d5","64","79","True","2","assets/manor/classic/crop-radish-2.png","8","Crop_2.swf/DefineSprite_8/1.png","state-character","189fa60aec1a9609d3b1bcaa34d985331fd82f26fadb4c9b75c8e948d520f9d5","exact","pending-contact-sheet-review"
"2","白萝卜","0","4","pre_mature","成熟前","8","Crop_2.swf/DefineSprite_8/1.png","189fa60aec1a9609d3b1bcaa34d985331fd82f26fadb4c9b75c8e948d520f9d5","64","79","True","","","","","","","not-current","pending-contact-sheet-review"
"2","白萝卜","0","5","mature","成熟","17","Crop_2.swf/DefineSprite_17/1.png","1f32d2a374651f75531a6b3ec03fa19a04fe5e78e642c9fccad9c1903bc07c05","135","210","False","3","assets/manor/classic/crop-radish-3.png","17","Crop_2.swf/DefineSprite_17/1.png","state-character","1f32d2a374651f75531a6b3ec03fa19a04fe5e78e642c9fccad9c1903bc07c05","exact","pending-contact-sheet-review"
"2","白萝卜","0","6","withered","枯萎","19","Crop_2.swf/DefineSprite_19/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"3","胡萝卜","0","0","seed","种子","2","Crop_3.swf/DefineSprite_2/1.png","0e04974b4e580ea85ea6caf89b457bf3a20e1fa43abdf31e1f8f95a65fdcbe1e","42","17","False","0","assets/manor/classic/crop-carrot-0.png","2","Crop_3.swf/DefineSprite_2/1.png","state-character","0e04974b4e580ea85ea6caf89b457bf3a20e1fa43abdf31e1f8f95a65fdcbe1e","exact","pending-contact-sheet-review"
"3","胡萝卜","0","1","sprout","发芽","4","Crop_3.swf/DefineSprite_4/1.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","38","52","False","1","assets/manor/classic/crop-carrot-1.png","4","Crop_3.swf/DefineSprite_4/1.png","state-character","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","exact","pending-contact-sheet-review"
"3","胡萝卜","0","2","young","幼苗","6","Crop_3.swf/DefineSprite_6/1.png","eb16dd13ad894c32f21d07dee44c3d31da9abec044ae3c27071f29670d20a824","48","50","False","","","","","","","not-current","pending-contact-sheet-review"
