"source_id","name","original_level","crop_type","seed_price","sale_price","base_yield","experience","growth_seconds","harvest_cycles","source_swf","source_bytes","source_sha256","root_sprite_id","state_character_ids","state_0_seed","state_1_sprout","state_2_young","state_3_growing","state_4_pre_mature","state_5_mature","state_6_withered","swf_parse_error","current_id","current_assets","processing_status"
"2","白萝卜","0","1","125","17","16","15","36000","1","module/nc/crops/Crop_2.swf","21061","286763aa13812e0a79a898b1241cb5012d83af6d0b4645555c59816d56fb1292","20","2,4,6,8,8,17,19","2","4","6","8","8","17","19",,"radish","assets/manor/classic/crop-radish-0.png;assets/manor/classic/crop-radish-1.png;assets/manor/classic/crop-radish-2.png;assets/manor/classic/crop-radish-3.png","integrated-4-stage"
"3","胡萝卜","0","1","163","21","17","18","46800","1","module/nc/crops/Crop_3.swf","20460","9cee6652dd7945a7d7409206b96549a58434da9f1c479c10fcfb11a7c5b78dd0","23","2,4,6,8,8,20,22","2","4","6","8","8","20","22",,"carrot","assets/manor/classic/crop-carrot-0.png;assets/manor/classic/crop-carrot-1.png;assets/manor/classic/crop-carrot-2.png;assets/manor/classic/crop-carrot-3.png","integrated-4-stage"
"40","牧草","0","1","80","6","25","10","28800","1","module/nc/crops/Crop_40.swf","11647","dc82df3a4d89a499afc563a60a86b8b01145170630283643d85a12444b034bc6","27","2,4,11,15,15,24,26","2","4","11","15","15","24","26",,"","","mapped-not-extracted"
"81","圣诞树","0","1","163","21","17","18","46800","1","module/nc/crops/Crop_81.swf","27753","ede8c718cb6687c14fc1596ec23f61bb5da760bd8718286eddd8168feb184fad","44","9,13,17,23,28,41,43","9","13","17","23","28","41","43",,"","","mapped-not-extracted"
"59","大白菜","1","1","168","22","17","19","50400","1","module/nc/crops/Crop_59.swf","13663","7a232bb2e754cf06f7e11e87e0d079922cc1889cd53e0e818b81bac61929ac61","16","2,4,7,9,11,13,15","2","4","7","9","11","13","15",,"cabbage","assets/manor/classic/crop-cabbage-0.png;assets/manor/classic/crop-cabbage-1.png;assets/manor/classic/crop-cabbage-2.png;assets/manor/classic/crop-cabbage-3.png","integrated-4-stage"
"60","水稻","2","1","168","21","18","19","50400","1","module/nc/crops/Crop_60.swf","25300","3e90f949b6d2fe83c9b37f505068510911a39c81b1d80a7a2de8f9e442bc95eb","65","2,4,15,29,44,62,64","2","4","15","29","44","62","64",,"rice","assets/manor/classic/crop-rice-0.png;assets/manor/classic/crop-rice-1.png;assets/manor/classic/crop-rice-2.png;assets/manor/classic/crop-rice-3.png","integrated-4-stage"
"61","小麦","2","1","168","21","18","19","50400","1","module/nc/crops/Crop_61.swf","9306","691000296d70b72f77ff980998463d79fcfb3ce3d7d7b308ae967a0753270e67","39","2,4,12,14,22,36,38","2","4","12","14","22","36","38",,"wheat","assets/manor/classic/crop-wheat-0.png;assets/manor/classic/crop-wheat-1.png;assets/manor/classic/crop-wheat-2.png;assets/manor/classic/crop-wheat-3.png","integrated-4-stage"
"4","玉米","3","1","175","23","17","19","50400","1","module/nc/crops/Crop_4.swf","22002","71106f7045ac7218f4adcc15a552aa7196cf217c1fd9025c2daf1e30c7ec1396","15","2,4,6,8,10,12,14","2","4","6","8","10","12","14",,"corn","assets/manor/classic/crop-corn-0.png;assets/manor/classic/crop-corn-1.png;assets/manor/classic/crop-corn-2.png;assets/manor/classic/crop-corn-3.png","integrated-4-stage"
"5","土豆","4","1","188","24","18","20","54000","1","module/nc/crops/Crop_5.swf","18604","83afaf01457945eae976d5fcd4213399af1feba2b35a3f16f470e576f309c09a","26","2,4,6,16,20,23,25","2","4","6","16","20","23","25",,"potato","assets/manor/classic/crop-potato-0.png;assets/manor/classic/crop-potato-1.png;assets/manor/classic/crop-potato-2.png;assets/manor/classic/crop-potato-3.png","integrated-4-stage"
"6","茄子","5","1","237","25","20","21","57600","1","module/nc/crops/Crop_6.swf","20240","6549da88b0a75cb1131f2ad9345ae5909fe0b6334d4230b08d1c9c93489a231b","19","2,4,6,10,13,16,18","2","4","6","10","13","16","18",,"eggplant","assets/manor/classic/crop-eggplant-0.png;assets/manor/classic/crop-eggplant-1.png;assets/manor/classic/crop-eggplant-2.png;assets/manor/classic/crop-eggplant-3.png","integrated-4-stage"
