"sha256","copy_count","bytes_each","categories","current_files","review_status"
"1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","6","1192","crop","assets/manor/classic/crop-corn-0.png;assets/manor/classic/crop-pea-0.png;assets/manor/classic/crop-potato-0.png;assets/manor/classic/crop-pumpkin-0.png;assets/manor/classic/crop-radish-0.png;assets/manor/classic/crop-tomato-0.png","expected-shared-seed-art"
"db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","4","1197","crop","assets/manor/classic/crop-cabbage-0.png;assets/manor/classic/crop-chili-0.png;assets/manor/classic/crop-rice-0.png;assets/manor/classic/crop-wheat-0.png","expected-shared-seed-art"
"246aaacc6e4c82659a739688a6c4328a25457d1ff298638622a1536a022e51f7","2","3534","tool","assets/manor/classic/tool-seed-1_up.png;assets/manor/classic/tool-seed-3_down.png","legacy-control-up-down-identical"
"31bb9475b73dcc1061aa01e8d1ba54ac030c4dbf4649ca92a5ed30899e8a3b43","2","7562","navigation","assets/manor/classic/nav-pasture-1_up.png;assets/manor/classic/nav-pasture-3_down.png","legacy-control-up-down-identical"
"3e30bd8a4d7326e89831ebb9f00130d7fb1687c27cca2dda833d49a200c72d67","2","2913","tool","assets/manor/classic/tool-hoe-1_up.png;assets/manor/classic/tool-hoe-3_down.png","legacy-control-up-down-identical"
"8caed2f37f77ac36301fb5f0ed7faef986baa364c08810184c4798d98f76d58c","2","3821","tool","assets/manor/classic/tool-water-1_up.png;assets/manor/classic/tool-water-3_down.png","legacy-control-up-down-identical"
"9c74a14d687f0e4491579977d2bd1d568d1286c5b69155fcd91593dea0e238d9","2","6367","navigation","assets/manor/classic/nav-farm-1_up.png;assets/manor/classic/nav-farm-3_down.png","legacy-control-up-down-identical"
"9e1028042d2f2ca11e30119eaf03781a88f0df932019145dfd0b155cfaa59443","2","3367","tool","assets/manor/classic/tool-pesticide-1_up.png;assets/manor/classic/tool-pesticide-3_down.png","legacy-control-up-down-identical"
"a11f10e982c14a4b8486059939a9cecce56656976e60d2ab6888f2e9228113d2","2","5443","navigation","assets/manor/classic/nav-warehouse-1_up.png;assets/manor/classic/nav-warehouse-3_down.png","legacy-control-up-down-identical"
"cf3aed938dbe1870a69ba892dbf25445ccfb7f2d5dff013879013cea8e7bcae7","2","1911","tool","assets/manor/classic/tool-move-1_up.png;assets/manor/classic/tool-move-3_down.png","legacy-control-up-down-identical"
"d8e0f6bf083d95f50680d838f1fe6400195a2710ef8defa23bce0cfc97fe18d7","2","6816","navigation","assets/manor/classic/nav-shop-1_up.png;assets/manor/classic/nav-shop-3_down.png","legacy-control-up-down-identical"
"e4264dfb4d2fe59efe095d751ee62341fa45684015a34cefa0d4bcf7b4a515db","2","2345","tool","assets/manor/classic/tool-harvest-1_up.png;assets/manor/classic/tool-harvest-3_down.png","legacy-control-up-down-identical"
"f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","2","2468","crop","assets/manor/classic/crop-carrot-1.png;assets/manor/classic/crop-radish-1.png","shared-early-growth-needs-visual-review"
