"source_id","name","set_name","item_type","item_type_name","extraction_policy","integration_policy","selected_source_kind","source_origin_file","source_origin_sha256","source_export_file","source_export_sha256","width","height","visible_pixels","visible_x","visible_y","visible_width","visible_height","swf_display_rect","swf_content_outline_rect","preview_file","preview_sha256","thumbnail_file","thumbnail_sha256","known_issue","automated_status","visual_review_status"
"11","春日风车背景","荷兰葵花系列","1","background","extract-swf","default","swf-stage-frame","module/nc/farm/diy/11.swf","b4540e29b1097a554386b6c90f2e56f7677dd521222321e6dd6a30f0b0fd598e","stage-frame/11.swf/1.png","2d6834acd5b9486be6a5ff31688604be23ff73d8d3aa8bc316acb4194e70d942","1024","768","786432","0","0","1024","768","0,0,20480,15360","0.0,0.0,20480.0,15360.0","module/nc/farm/diy/11.jpg","c13f61d3f088aeed1c60c62c591425d8fb292d264bfb317779b8693d85bcf8f9","module/nc/farm/diy/11b.jpg","4e035ffd1e7066ce173c7434b36a392dd460a8c2c9df12ac449c984296d3edcd","","ready-for-visual-review","reviewed-ok"
"12","绿顶小木屋","荷兰葵花系列","2","house","extract-swf","default","swf-content-frame","module/nc/farm/diy/12.swf","7bc4ac0e3c5aed64d07928502f39ae0ac8ab98655a267b8e4b06560f4faf5410","content-frame/12.swf.png","45fdd231de9c337b26e1f6fd6a32c0b66966bc3b1ad2c4be3e42d4bc30750eb2","253","176","27879","1","1","235","173","0,0,11000,8000","-618.887451171875,-2361.1142578125,5018.196750916157,3460.2421875","module/nc/farm/diy/12.jpg","87bd2157ff0ad6fde23466c0e12bc77df4e37ec998987eac0df312e05f935cff","module/nc/farm/diy/12b.jpg","5d1204d290285b5e03554535ad01d1975e906b22d07b24cc3c1cf73d11f11095","","ready-for-visual-review","reviewed-ok"
"13","爱心木栅栏","荷兰葵花系列","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/13.swf","0ca62a2d5fe517c8adafd20617503a28b0ae82b77ed2dee086df46373f01ccc8","content-frame/13.swf.png","696f20bd2b361c08e735e6dc9212d52324aa4f927291dad0271c5a3fb8e4d3f5","557","246","10967","1","1","555","244","0,0,11000,8000","220.10888671875,42.611328125,11081.86019897461,4873.0517578125","module/nc/farm/diy/13.jpg","c2488c31ed22c11569b7093722efc7232d9e340a5b48a0e9b0b87f7a230bf34e","module/nc/farm/diy/13b.jpg","9762479c4a26137f62ab3dc824398290591dbd0ef67144af44be2d55993005a6","","ready-for-visual-review","reviewed-ok"
"14","木制小狗窝","荷兰葵花系列","4","doghouse","extract-swf","deferred-validation","swf-content-frame","module/nc/farm/diy/14.swf","e8d4e2510948fc31a5ecfafa873680b58ff27fe6f5962b760dbc4ac9ee7d692a","content-frame/14.swf.png","a40627dd71dd0ad24a970e80eb6e2e5d2a243a2f133095c00db58d687f6cb013","430","146","11572","1","0","428","144","0,0,11000,8000","-64.4,-860.1071428571429,8547.603412373861,2865.416497494994","module/nc/farm/diy/14.jpg","82fd286daefba0795c9a14ed800268be64eb897771230124ab16a92d752f31f0","module/nc/farm/diy/14b.jpg","3f3d9840828563f4d5f9d30508296291c38e1172b3ce30aa4856bca3edabcc17","","ready-for-visual-review","reviewed-with-note"
"16","圣诞快乐","圣诞快乐","1","background","extract-swf","default","swf-stage-frame","module/nc/farm/diy/16.swf","587baae28847159869a5d91239d58dbf93a63526e3e56c544c341104a7e8335e","stage-frame/16.swf/1.png","2b66afc0b49bf49689bc814c6ca438cb743a47c00705af21ef053ad1941853d3","500","500","250000","0","0","500","500","0,0,10000,10000","-840.0,-462.94390418209997,24480.0,18502.9439041821","module/nc/farm/diy/16.jpg","874fe0aea013b4564fdf69c0c4ee0970d409128305aaeb99f1e206e0b49f6ac4","module/nc/farm/diy/16b.jpg","f8e04de802472c44e91ede997c682df5c5cfc0bc5b1f9d8766aeb95fdc37560b","","ready-for-visual-review","reviewed-ok"
"17","圣诞雪屋","圣诞快乐","2","house","extract-swf","default","swf-content-frame","module/nc/farm/diy/17.swf","0c58a57e2ffdfa455ea0bd2fe5d509f669e8bcd42735bf3996b0d1d03dca79ac","content-frame/17.swf.png","5fb54ec989e3d1f3a3a9221812434bc0848888ac5ffbbf91d19d50a29203c401","261","252","32288","4","1","255","250","0,0,2000,2000","-660.022321084105,-3344.0,5162.423873531256,4983.93603515625","module/nc/farm/diy/17.jpg","b1f043c55d6af7df22087847907ba8224bc5b7bfbbb7c7e48a635e61a84e4adb","module/nc/farm/diy/17b.jpg","95c13b76fd4f5bbe73a4cd7e9cbfc00823012f23ea4609be9cc8e42f27629f8f","","ready-for-visual-review","reviewed-ok"
"18","小院围墙","圣诞快乐","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/18.swf","83746551e5ddb71d6843d315ac5203fcec8c1d8f074d05d44b47e754a31cf8d3","content-frame/18.swf.png","0293ce7cb50daee9c089173b7a7b169e6c730902ea12db8ac7191ed6588958d5","569","234","16371","1","0","567","232","0,0,12000,6000","19.9423828125,8.586531836073846,11325.73974609375,4619.790193287405","module/nc/farm/diy/18.jpg","9cd1191c11284428657d181c98154a343ec7740a10703dc2c9716f1103117860","module/nc/farm/diy/18b.jpg","c31bf20cfea548a5fcd1d84de36416c7bff57655bb4f3c6c6d51c3199e498f0f","","ready-for-visual-review","reviewed-ok"
"19","圣诞狗窝","圣诞快乐","4","doghouse","extract-swf","default","swf-content-frame","module/nc/farm/diy/19.swf","5d027db60d3dbd4d5470042fa8917da596137dd6586ad96d5149e94318695d2d","content-frame/19.swf.png","8ef0caf6060b58a0e016d5ff6ee6670ea005868539c6d721f9416f7e8aba48b5","109","100","4421","6","0","99","99","0,0,2000,2000","-392.7512437810945,-1489.99999918637,2125.7755598905173,1959.99999918637","module/nc/farm/diy/19.jpg","434a4d30f183226fb04d3dc252eadb747d1bb56642593ddd796e00e86b37272c","module/nc/farm/diy/19b.jpg","258fd07de5b293bcfbc9effd27cd940bb95e0ea0bee2d3108fd1ada950939fd6","","ready-for-visual-review","reviewed-ok"
"21","春天的故事","春天的故事","1","background","blocked-missing-source","excluded","blocked-missing-source","","","","","","","0","","","","","","","module/nc/farm/diy/21.jpg","1d4ed12ce0e35c44bcf749fa8f2184d3a35d8ccea0529393c0e00d6a19a182b8","module/nc/farm/diy/21b.jpg","bae0b2e2f01aa1f77921b7970b456cb1f6af465b74b1b72f4a05e08c089c0fdb","missing-swf-and-full-image","blocked-missing-source","blocked-missing-source"
"22","春天小屋","春天的故事","2","house","extract-swf","default","swf-content-frame","module/nc/farm/diy/22.swf","ab6daf304dfaf2e3b0d924b037f9cd20bb0371a13d5406f1e99a41705ef9beb1","content-frame/22.swf.png","c669e04d881b6b86db26ec25b5a2e0ddf3999b9d0674fa47ff056cc1fc9d4ee6","171","159","18799","1","0","169","158","0,0,2000,2000","-170.37394485809727,-2200.7225646972656,3375.703636694806,3138.043065651176","module/nc/farm/diy/22.jpg","5def784fdc712f6e1d9912013fc1b742ad19888faa97fe7794c0b7b0ea3dc7d7","module/nc/farm/diy/22b.jpg","c5a9ad17f3b556de8a4b460862507ee9bf430a3615276b7f9eeb8fe0ae23f6f1","","ready-for-visual-review","reviewed-ok"
