"source_id","name","set_name","item_type","item_type_name","source_kind","source_file","source_sha256","runtime_asset","runtime_sha256","runtime_thumbnail","runtime_thumbnail_sha256","width","height","visual_review_status","processing_status"
"11","春日风车背景","荷兰葵花系列","1","background","swf-stage-frame","stage-frame/11.swf/1.png","2d6834acd5b9486be6a5ff31688604be23ff73d8d3aa8bc316acb4194e70d942","apps/web/public/assets/manor/classic/decorations/items/11.png","2d6834acd5b9486be6a5ff31688604be23ff73d8d3aa8bc316acb4194e70d942","apps/web/public/assets/manor/classic/decorations/thumbnails/11.jpg","4e035ffd1e7066ce173c7434b36a392dd460a8c2c9df12ac449c984296d3edcd","1024","768","reviewed-ok","ready"
"12","绿顶小木屋","荷兰葵花系列","2","house","swf-content-frame","content-frame/12.swf.png","45fdd231de9c337b26e1f6fd6a32c0b66966bc3b1ad2c4be3e42d4bc30750eb2","apps/web/public/assets/manor/classic/decorations/items/12.png","45fdd231de9c337b26e1f6fd6a32c0b66966bc3b1ad2c4be3e42d4bc30750eb2","apps/web/public/assets/manor/classic/decorations/thumbnails/12.jpg","5d1204d290285b5e03554535ad01d1975e906b22d07b24cc3c1cf73d11f11095","253","176","reviewed-ok","ready"
"13","爱心木栅栏","荷兰葵花系列","3","fence","swf-content-frame","content-frame/13.swf.png","696f20bd2b361c08e735e6dc9212d52324aa4f927291dad0271c5a3fb8e4d3f5","apps/web/public/assets/manor/classic/decorations/items/13.png","696f20bd2b361c08e735e6dc9212d52324aa4f927291dad0271c5a3fb8e4d3f5","apps/web/public/assets/manor/classic/decorations/thumbnails/13.jpg","9762479c4a26137f62ab3dc824398290591dbd0ef67144af44be2d55993005a6","557","246","reviewed-ok","ready"
"16","圣诞快乐","圣诞快乐","1","background","swf-stage-frame","stage-frame/16.swf/1.png","2b66afc0b49bf49689bc814c6ca438cb743a47c00705af21ef053ad1941853d3","apps/web/public/assets/manor/classic/decorations/items/16.png","2b66afc0b49bf49689bc814c6ca438cb743a47c00705af21ef053ad1941853d3","apps/web/public/assets/manor/classic/decorations/thumbnails/16.jpg","f8e04de802472c44e91ede997c682df5c5cfc0bc5b1f9d8766aeb95fdc37560b","500","500","reviewed-ok","ready"
"17","圣诞雪屋","圣诞快乐","2","house","swf-content-frame","content-frame/17.swf.png","5fb54ec989e3d1f3a3a9221812434bc0848888ac5ffbbf91d19d50a29203c401","apps/web/public/assets/manor/classic/decorations/items/17.png","5fb54ec989e3d1f3a3a9221812434bc0848888ac5ffbbf91d19d50a29203c401","apps/web/public/assets/manor/classic/decorations/thumbnails/17.jpg","95c13b76fd4f5bbe73a4cd7e9cbfc00823012f23ea4609be9cc8e42f27629f8f","261","252","reviewed-ok","ready"
"18","小院围墙","圣诞快乐","3","fence","swf-content-frame","content-frame/18.swf.png","0293ce7cb50daee9c089173b7a7b169e6c730902ea12db8ac7191ed6588958d5","apps/web/public/assets/manor/classic/decorations/items/18.png","0293ce7cb50daee9c089173b7a7b169e6c730902ea12db8ac7191ed6588958d5","apps/web/public/assets/manor/classic/decorations/thumbnails/18.jpg","c31bf20cfea548a5fcd1d84de36416c7bff57655bb4f3c6c6d51c3199e498f0f","569","234","reviewed-ok","ready"
"19","圣诞狗窝","圣诞快乐","4","doghouse","swf-content-frame","content-frame/19.swf.png","8ef0caf6060b58a0e016d5ff6ee6670ea005868539c6d721f9416f7e8aba48b5","apps/web/public/assets/manor/classic/decorations/items/19.png","8ef0caf6060b58a0e016d5ff6ee6670ea005868539c6d721f9416f7e8aba48b5","apps/web/public/assets/manor/classic/decorations/thumbnails/19.jpg","258fd07de5b293bcfbc9effd27cd940bb95e0ea0bee2d3108fd1ada950939fd6","109","100","reviewed-ok","ready"
"22","春天小屋","春天的故事","2","house","swf-content-frame","content-frame/22.swf.png","c669e04d881b6b86db26ec25b5a2e0ddf3999b9d0674fa47ff056cc1fc9d4ee6","apps/web/public/assets/manor/classic/decorations/items/22.png","c669e04d881b6b86db26ec25b5a2e0ddf3999b9d0674fa47ff056cc1fc9d4ee6","apps/web/public/assets/manor/classic/decorations/thumbnails/22.jpg","c5a9ad17f3b556de8a4b460862507ee9bf430a3615276b7f9eeb8fe0ae23f6f1","171","159","reviewed-ok","ready"
"23","春天围墙","春天的故事","3","fence","swf-content-frame","content-frame/23.swf.png","6a0680db6bcec5a7d7266e5c528b61c6defda30b79377e11365cf8597ebc723d","apps/web/public/assets/manor/classic/decorations/items/23.png","6a0680db6bcec5a7d7266e5c528b61c6defda30b79377e11365cf8597ebc723d","apps/web/public/assets/manor/classic/decorations/thumbnails/23.jpg","744aa94db130f622305f4b52c37e3f718d872deff71f9e1431f8fa065ee9e38b","565","231","reviewed-ok","ready"
"24","春天狗窝","春天的故事","4","doghouse","swf-content-frame","content-frame/24.swf.png","8a83a04293b3f23e1920b1fc580d7d395e5ff64976fd1b442bd47d87b2691a07","apps/web/public/assets/manor/classic/decorations/items/24.png","8a83a04293b3f23e1920b1fc580d7d395e5ff64976fd1b442bd47d87b2691a07","apps/web/public/assets/manor/classic/decorations/thumbnails/24.jpg","faedcac81b23a81a63f8d19ce5ac244f78bec1c58f8c398fb5e382b92eebb3a0","80","74","reviewed-ok","ready"
"26","新年快乐","新年快乐","1","background","full-image","module/nc/farm/diy/26f.jpg","f755c8175d1f052a1c7cdc67dfcb1d98103a4ef3283e28943c294a48f475ca7f","apps/web/public/assets/manor/classic/decorations/items/26.jpg","f755c8175d1f052a1c7cdc67dfcb1d98103a4ef3283e28943c294a48f475ca7f","apps/web/public/assets/manor/classic/decorations/thumbnails/26.jpg","1f0f4a2c0d57f64977aef8b0101845a642cf83e89e78630da2455a6c95279207","1034","806","reviewed-ok","ready"
