"source_id","name","set_name","item_type","item_type_name","original_level","coin_price","premium_price","discounted_premium_price","experience","valid_seconds","swf_file","preview_file","thumbnail_file","alternate_file","source_files_present","source_completeness","known_issue","extraction_policy","integration_policy","preferred_runtime_source","processing_status"
"53","阿尔卑斯山风光","阿尔卑斯山风光","1","background","0","52199","144","115","480","2592000","module/nc/farm/diy/53.swf","module/nc/farm/diy/53.jpg","module/nc/farm/diy/53b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/53.swf","mapped-not-extracted"
"54","山脚下小屋","阿尔卑斯山风光","2","house","0","32888","100","80","420","2592000","module/nc/farm/diy/54.swf","module/nc/farm/diy/54.jpg","module/nc/farm/diy/54b.jpg","","3","complete-swf","","extract-swf","deferred-validation","module/nc/farm/diy/54.swf","mapped-not-extracted"
"55","阿尔卑斯特产栅栏","阿尔卑斯山风光","3","fence","0","22088","60","48","320","2592000","module/nc/farm/diy/55.swf","module/nc/farm/diy/55.jpg","module/nc/farm/diy/55b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/55.swf","mapped-not-extracted"
"56","阿尔卑斯特产狗屋","阿尔卑斯山风光","4","doghouse","0","22399","48","38","250","2592000","module/nc/farm/diy/56.swf","module/nc/farm/diy/56.jpg","module/nc/farm/diy/56b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/56.swf","mapped-not-extracted"
"213","碧草云天背景","碧草云天套装","1","background","0","23088","55","44","120","2592000","module/nc/farm/diy/213.swf","module/nc/farm/diy/213.jpg","module/nc/farm/diy/213b.jpg","","3","complete-swf","","extract-swf","deferred-validation","module/nc/farm/diy/213.swf","mapped-not-extracted"
"214","风情木屋","碧草云天套装","2","house","0","15999","38","30","114","2592000","module/nc/farm/diy/214.swf","module/nc/farm/diy/214.jpg","module/nc/farm/diy/214b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/214.swf","mapped-not-extracted"
"215","积木栅栏","碧草云天套装","3","fence","0","9588","23","18","69","2592000","module/nc/farm/diy/215.swf","module/nc/farm/diy/215.jpg","module/nc/farm/diy/215b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/215.swf","mapped-not-extracted"
"216","简约狗窝","碧草云天套装","4","doghouse","0","72128","18","15","55","2592000","module/nc/farm/diy/216.swf","module/nc/farm/diy/216.jpg","module/nc/farm/diy/216b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/216.swf","mapped-not-extracted"
"21","春天的故事","春天的故事","1","background","0","12499","35","25","188","2592000","","module/nc/farm/diy/21.jpg","module/nc/farm/diy/21b.jpg","","2","preview-only-missing-runtime-art","missing-swf-and-full-image","blocked-missing-source","excluded","","mapped-not-extracted"
"22","春天小屋","春天的故事","2","house","0","11599","30","28","140","2592000","module/nc/farm/diy/22.swf","module/nc/farm/diy/22.jpg","module/nc/farm/diy/22b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/22.swf","mapped-not-extracted"
"23","春天围墙","春天的故事","3","fence","0","8889","15","10","60","2592000","module/nc/farm/diy/23.swf","module/nc/farm/diy/23.jpg","module/nc/farm/diy/23b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/23.swf","mapped-not-extracted"
"24","春天狗窝","春天的故事","4","doghouse","0","9099","15","10","40","2592000","module/nc/farm/diy/24.swf","module/nc/farm/diy/24.jpg","module/nc/farm/diy/24b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/24.swf","mapped-not-extracted"
"57","地中海风情","地中海套装","1","background","0","33088","88","70","442","2592000","module/nc/farm/diy/57.swf","module/nc/farm/diy/57.jpg","module/nc/farm/diy/57b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/57.swf","mapped-not-extracted"
"58","迷情蓝堡","地中海套装","2","house","0","22299","61","48","307","2592000","module/nc/farm/diy/58.swf","module/nc/farm/diy/58.jpg","module/nc/farm/diy/58b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/58.swf","mapped-not-extracted"
"59","白沙围廊","地中海套装","3","fence","0","13788","37","29","184","2592000","module/nc/farm/diy/59.swf","module/nc/farm/diy/59.jpg","module/nc/farm/diy/59b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/59.swf","mapped-not-extracted"
"60","贝鲁特犬舍","地中海套装","4","doghouse","0","11088","29","23","147","2592000","module/nc/farm/diy/60.swf","module/nc/farm/diy/60.jpg","module/nc/farm/diy/60b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/60.swf","mapped-not-extracted"
"253","董衣草之恋背景","董衣草之恋套装","1","background","0","25268","55","44","165","2592000","module/nc/farm/diy/253.swf","module/nc/farm/diy/253.jpg","module/nc/farm/diy/253b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/253.swf","mapped-not-extracted"
"254","董衣草之恋大屋","董衣草之恋套装","2","house","0","16299","38","30","114","2592000","module/nc/farm/diy/254.swf","module/nc/farm/diy/254.jpg","module/nc/farm/diy/254b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/254.swf","mapped-not-extracted"
"255","董衣草之恋红栏","董衣草之恋套装","3","fence","0","9108","23","18","69","2592000","module/nc/farm/diy/255.swf","module/nc/farm/diy/255.jpg","module/nc/farm/diy/255b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/255.swf","mapped-not-extracted"
"256","董衣草之恋狗窝","董衣草之恋套装","4","doghouse","0","7856","18","15","55","2592000","module/nc/farm/diy/256.swf","module/nc/farm/diy/256.jpg","module/nc/farm/diy/256b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/256.swf","mapped-not-extracted"
"205","都市霓虹背景","都市霓虹套装","1","background","0","23088","55","44","120","2592000","module/nc/farm/diy/205.swf","module/nc/farm/diy/205.jpg","module/nc/farm/diy/205b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/205.swf","mapped-not-extracted"
"206","玻璃花房","都市霓虹套装","2","house","0","15999","38","30","114","2592000","module/nc/farm/diy/206.swf","module/nc/farm/diy/206.jpg","module/nc/farm/diy/206b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/206.swf","mapped-not-extracted"
"207","白金花栏","都市霓虹套装","3","fence","0","9588","23","18","69","2592000","module/nc/farm/diy/207.swf","module/nc/farm/diy/207.jpg","module/nc/farm/diy/207b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/207.swf","mapped-not-extracted"
"208","花亭小窝","都市霓虹套装","4","doghouse","0","72128","18","15","55","2592000","module/nc/farm/diy/208.swf","module/nc/farm/diy/208.jpg","module/nc/farm/diy/208b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/208.swf","mapped-not-extracted"
"261","公益背景","公益套装","1","background","0","25268","55","44","165","2592000","module/nc/farm/diy/261.swf","module/nc/farm/diy/261.jpg","module/nc/farm/diy/261b.jpg","","3","complete-swf","","extract-swf","default","module/nc/farm/diy/261.swf","mapped-not-extracted"
