"flower_id","source_file","source_sha256","runtime_asset","runtime_sha256","status"
"1","module/nc/flower/1.gif","15549f16fe213d1eb24ca673344a6bbeeb0e2d4d4dfb561d0c521cc4b9328162","apps/web/public/assets/manor/classic/flowers/1.gif","15549f16fe213d1eb24ca673344a6bbeeb0e2d4d4dfb561d0c521cc4b9328162","ready"
"2","module/nc/flower/2.gif","70b5444fb1d86ba5b8e1b6887f94f4f45689a1248c9c54afc1e2b062e68704a7","apps/web/public/assets/manor/classic/flowers/2.gif","70b5444fb1d86ba5b8e1b6887f94f4f45689a1248c9c54afc1e2b062e68704a7","ready"
"3","module/nc/flower/3.gif","5d4fe71935b781a747c88518a45a860d9aed1a6307c729ef5cab7741ce1a4a0b","apps/web/public/assets/manor/classic/flowers/3.gif","5d4fe71935b781a747c88518a45a860d9aed1a6307c729ef5cab7741ce1a4a0b","ready"
"4","module/nc/flower/4.gif","a54cf7163dd1aa385655b663e0a4cbb4a20b2850f4394cc3dde25939a5cb59b7","apps/web/public/assets/manor/classic/flowers/4.gif","a54cf7163dd1aa385655b663e0a4cbb4a20b2850f4394cc3dde25939a5cb59b7","ready"
"5","module/nc/flower/5.gif","310083e0ab4538576ebba0b88b44b01831a8d956b83e3f8c15c10ac5ac3539d4","apps/web/public/assets/manor/classic/flowers/5.gif","310083e0ab4538576ebba0b88b44b01831a8d956b83e3f8c15c10ac5ac3539d4","ready"
"6","module/nc/flower/6.gif","8e5175c54f5bb5dff4d67917e387bf043c2346bb5323212ed778894801b3031f","apps/web/public/assets/manor/classic/flowers/6.gif","8e5175c54f5bb5dff4d67917e387bf043c2346bb5323212ed778894801b3031f","ready"
"7","module/nc/flower/7.gif","ff9ac6fcde184ff15a62ee517ec56ffefb60dd7aceb83217a7a273ac2a46be35","apps/web/public/assets/manor/classic/flowers/7.gif","ff9ac6fcde184ff15a62ee517ec56ffefb60dd7aceb83217a7a273ac2a46be35","ready"
"8","module/nc/flower/8.gif","ae45835bc6ce559b9b3c223cfc4350fbe0a6ad1370c8a79ea40c8933c3c542f6","apps/web/public/assets/manor/classic/flowers/8.gif","ae45835bc6ce559b9b3c223cfc4350fbe0a6ad1370c8a79ea40c8933c3c542f6","ready"
"9","module/nc/flower/9.gif","b3d9ce74b8007cf411a76c24d98a7e10ca481dc72ed05cd57c1e06d7b3baf2a8","apps/web/public/assets/manor/classic/flowers/9.gif","b3d9ce74b8007cf411a76c24d98a7e10ca481dc72ed05cd57c1e06d7b3baf2a8","ready"
"10","module/nc/flower/10.gif","6fd453a69882261296a6b2ad7cd25b13f969e313b4dba16dfbe95cc46d7d2d8a","apps/web/public/assets/manor/classic/flowers/10.gif","6fd453a69882261296a6b2ad7cd25b13f969e313b4dba16dfbe95cc46d7d2d8a","ready"
"11","module/nc/flower/11.gif","cf1078c156ad1ed4fdf99d94afebe789e09783f0f483f3f7f6fb458ce15488cf","apps/web/public/assets/manor/classic/flowers/11.gif","cf1078c156ad1ed4fdf99d94afebe789e09783f0f483f3f7f6fb458ce15488cf","ready"
"12","module/nc/flower/12.gif","ad028c514ea28deea61b0ba5ec9fbb237122cec13e87953f382451b7c874a0df","apps/web/public/assets/manor/classic/flowers/12.gif","ad028c514ea28deea61b0ba5ec9fbb237122cec13e87953f382451b7c874a0df","ready"
"13","module/nc/flower/13.gif","e0807817f623b3b5b50630c35668087c060b9aab4950b8fddc4d3a395eb31c7b","apps/web/public/assets/manor/classic/flowers/13.gif","e0807817f623b3b5b50630c35668087c060b9aab4950b8fddc4d3a395eb31c7b","ready"
"14","module/nc/flower/14.gif","245d2f2f7cd08c0046ef28dc4d33553c53c77368fad2dd5b9f575d800cdc11e0","apps/web/public/assets/manor/classic/flowers/14.gif","245d2f2f7cd08c0046ef28dc4d33553c53c77368fad2dd5b9f575d800cdc11e0","ready"
