"review_key","category","source_file","contact_sheet","mapped_entries","rendered_entries","empty_outline_entries","non_drawable_entries","render_errors","action_effect_candidates","automated_status","visual_review_status","visual_review_note"
"module/nc/crops/Flowers.swf","farm-crop-support","module/nc/crops/Flowers.swf","contact-sheets/interface-media/media-nc__crops__Flowers.swf.png","13","12","1","0","0","0","ready-for-visual-review","reviewed-ok","12 个花卉种子角色完整；根舞台为空符合纯素材库结构"
"module/nc/crops/Seeds_2.swf","farm-crop-support","module/nc/crops/Seeds_2.swf","contact-sheets/interface-media/media-nc__crops__Seeds_2.swf.png","15","14","1","0","0","0","ready-for-visual-review","reviewed-ok","14 个种子角色完整；根舞台为空符合纯素材库结构"
"module/nc/crops/Seeds_3_v_9.swf","farm-crop-support","module/nc/crops/Seeds_3_v_9.swf","contact-sheets/interface-media/media-nc__crops__Seeds_3_v_9.swf.png","22","21","1","0","0","0","ready-for-visual-review","reviewed-ok","21 个种子角色完整；根舞台为空符合纯素材库结构"
"module/nc/crops/Seeds.swf","farm-crop-support","module/nc/crops/Seeds.swf","contact-sheets/interface-media/media-nc__crops__Seeds.swf.png","40","40","0","0","0","0","ready-for-visual-review","reviewed-ok","根舞台总览和39个种子角色均完整，未见错位、裁切或重复污染"
"module/nc/flower/1.swf","farm-flower","module/nc/flower/1.swf","contact-sheets/interface-media/media-nc__flower__1.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/10.swf","farm-flower","module/nc/flower/10.swf","contact-sheets/interface-media/media-nc__flower__10.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/11.swf","farm-flower","module/nc/flower/11.swf","contact-sheets/interface-media/media-nc__flower__11.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/12.swf","farm-flower","module/nc/flower/12.swf","contact-sheets/interface-media/media-nc__flower__12.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/13.swf","farm-flower","module/nc/flower/13.swf","contact-sheets/interface-media/media-nc__flower__13.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/14.swf","farm-flower","module/nc/flower/14.swf","contact-sheets/interface-media/media-nc__flower__14.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
