"entry_name","source_character_id","source_export_file","source_sha256","runtime_asset","runtime_sha256","width","height","processing_status"
"DefaultBg","2","mc/main/farmui1_v_12.swf.assets/character-2.png","ae6978cc0e9514392983784458bc5a29d8935b7d75b3a5c42edd0f304c0b1586","apps/web/public/assets/manor/classic/pasture/ui/background.png","ae6978cc0e9514392983784458bc5a29d8935b7d75b3a5c42edd0f304c0b1586","1038","805","ready"
"HeadBg","238","mc/main/farmui1_v_12.swf.assets/character-238.png","0e32a7f2dd474066df61b8519ae616e8024725110d56c5ffb2f085de6e74bca5","apps/web/public/assets/manor/classic/pasture/ui/head-bg.png","0e32a7f2dd474066df61b8519ae616e8024725110d56c5ffb2f085de6e74bca5","872","70","ready"
"ToolBarBg","236","mc/main/farmui1_v_12.swf.assets/character-236.png","7143bdd9a456a51531b023c86744f2696f09cf90e2bdfd52b9497841eb3e8816","apps/web/public/assets/manor/classic/pasture/ui/toolbar-bg.png","7143bdd9a456a51531b023c86744f2696f09cf90e2bdfd52b9497841eb3e8816","429","98","ready"
"WindowBg","234","mc/main/farmui1_v_12.swf.assets/character-234.png","217cf2ec1d9a2d84d988ef5e36f4e719b119b5b79a66ed211a41665a0e9d4ee0","apps/web/public/assets/manor/classic/pasture/ui/window-bg.png","217cf2ec1d9a2d84d988ef5e36f4e719b119b5b79a66ed211a41665a0e9d4ee0","202","130","ready"
"ButtonFarm","261","mc/main/farmui1_v_12.swf.assets/character-261.png","cb6ac85fb0164cb7adadbee5bb24d52695ea9bd322b82f30630975a0dcf8fc45","apps/web/public/assets/manor/classic/pasture/ui/nav-farm.png","cb6ac85fb0164cb7adadbee5bb24d52695ea9bd322b82f30630975a0dcf8fc45","51","42","ready"
"ButtonMC","264","mc/main/farmui1_v_12.swf.assets/character-264.png","a5f4c8ba9217f7e9d528addc8cc7fcbb50f2377c911eab3468e30542c5ccee1f","apps/web/public/assets/manor/classic/pasture/ui/nav-pasture.png","a5f4c8ba9217f7e9d528addc8cc7fcbb50f2377c911eab3468e30542c5ccee1f","53","49","ready"
"ButtonWarehouse","267","mc/main/farmui1_v_12.swf.assets/character-267.png","b2f2adb81a5c2c351cb923962cd5ed6ff0b0e97349c3a10a067994d16fccbbe9","apps/web/public/assets/manor/classic/pasture/ui/nav-warehouse.png","b2f2adb81a5c2c351cb923962cd5ed6ff0b0e97349c3a10a067994d16fccbbe9","50","49","ready"
"ButtonShop","270","mc/main/farmui1_v_12.swf.assets/character-270.png","9fa36cb7bd690491919b4eb02fe255e3889ec121f0f688e3c356363bc3255e01","apps/web/public/assets/manor/classic/pasture/ui/nav-shop.png","9fa36cb7bd690491919b4eb02fe255e3889ec121f0f688e3c356363bc3255e01","50","51","ready"
"ButtonDecorate","273","mc/main/farmui1_v_12.swf.assets/character-273.png","bb084928bb2e9a6a1e26a472fa764df53eb32d39c9cc16374351345fdc8c51e1","apps/web/public/assets/manor/classic/pasture/ui/nav-decorate.png","bb084928bb2e9a6a1e26a472fa764df53eb32d39c9cc16374351345fdc8c51e1","57","55","ready"
"Grass","428","mc/main/farmui1_v_12.swf.assets/character-428.png","3711906542f4c55c5755729ef915b81758df027428d7f7bfc534919277aed7f4","apps/web/public/assets/manor/classic/pasture/ui/grass.png","3711906542f4c55c5755729ef915b81758df027428d7f7bfc534919277aed7f4","95","119","ready"
