"source_id","name","byproduct_name","house","original_level","purchase_price","product_price","byproduct_price","animal_harvest_experience","byproduct_harvest_experience","base_yield","consume","cub_seconds","maturity_seconds","production_seconds","production_cycle_seconds","production_action_seconds","hidden","has_icon","has_product_asset","asset_status","integration_policy"
"1001","鸡","鸡蛋","hutch","0","700","860","17","26","6","20","1","14400","28800","129600","21600","15","false","true","true","complete-two-parts","core-candidate"
"1002","兔子","兔子崽","hutch","1","1200","1460","39","28","8","12","2","18000","36000","129600","28800","15","false","true","true","complete-two-parts","core-candidate"
"1003","鹅","鹅蛋","hutch","3","900","1850","19","31","8","20","3","16200","32400","144000","25200","15","false","true","true","complete-two-parts","core-candidate"
"1004","猫","猫崽","hutch","5","3200","4060","56","37","14","12","2","34200","68400","216000","32400","15","false","true","true","complete-two-parts","core-candidate"
"1005","孔雀","孔雀崽","hutch","7","5000","6060","35","39","16","24","3","37800","75600","237600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1006","企鹅","企鹅崽","hutch","9","10000","11860","68","44","22","16","3","41400","82800","259200","54000","15","false","true","true","complete-two-parts","core-candidate"
"1007","乌龟","小乌龟","hutch","10","11000","12000","69","26","14","12","3","27000","54000","216000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1008","松鼠","松鼠崽","hutch","12","12640","14570","71","29","16","13","4","36000","72000","288000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1009","波斯猫","波斯猫崽","hutch","13","13000","14790","72","30","17","14","4","37800","75600","302400","43200","15","false","true","true","complete-two-parts","core-candidate"
"1010","仓鼠","仓鼠崽","hutch","17","14100","16940","78","32","20","16","2","41400","82800","403200","50400","15","false","true","true","complete-two-parts","core-candidate"
"1011","刺猬","刺猬崽","hutch","21","15230","18000","72","34","14","15","2","36000","72000","345600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1012","鸭","鸭蛋","hutch","14","13200","14910","73","29","17","14","3","37800","75600","302400","43200","15","false","true","true","complete-two-parts","core-candidate"
"1013","鼹鼠","鼹鼠崽","hutch","18","14200","17030","78","31","19","16","3","37800","75600","403200","50400","15","false","true","true","complete-two-parts","core-candidate"
"1014","挪威森林猫","挪威森林猫崽","hutch","22","15550","18100","73","34","14","16","3","43200","86400","345600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1015","乌骨鸡","乌骨鸡蛋","hutch","14","13100","14890","72","22","15","12","2","32400","64800","270000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1016","美国短毛猫","美国短毛猫崽","hutch","24","16300","18210","74","28","12","15","3","34200","68400","316800","39600","15","false","true","true","complete-two-parts","core-candidate"
