"source_id","name","original_level","crop_type","seed_price","sale_price","base_yield","experience","growth_seconds","harvest_cycles","land_requirement","is_flower","hidden","vip_only","asset_status","asset_files","integration_policy"
"1","草莓","10","1","605","27","24","20","86400","2","0","false","false","false","complete-six-files","6","core-candidate"
"2","白萝卜","0","1","125","17","16","15","36000","1","0","false","false","false","complete-six-files","6","core-candidate"
"3","胡萝卜","0","1","163","21","17","18","46800","1","0","false","false","false","complete-six-files","6","core-candidate"
"4","玉米","3","1","175","23","17","19","50400","1","0","false","false","false","complete-six-files","6","core-candidate"
"5","土豆","4","1","188","24","18","20","54000","1","0","false","false","false","complete-six-files","6","core-candidate"
"6","茄子","5","1","237","25","20","21","57600","1","0","false","false","false","complete-six-files","6","core-candidate"
"7","番茄","6","1","251","26","21","22","61200","1","0","false","false","false","complete-six-files","6","core-candidate"
"8","豌豆","7","1","266","27","22","23","64800","1","0","false","false","false","complete-six-files","6","core-candidate"
"9","辣椒","8","1","296","28","24","25","72000","1","0","false","false","false","partial","4","blocked-assets"
"10","南瓜","9","1","325","30","25","27","79200","1","0","false","false","false","complete-six-files","6","core-candidate"
"11","苹果","10","1","578","24","23","18","75600","2","0","false","false","false","complete-six-files","6","core-candidate"
"13","葡萄","15","1","1978","47","29","30","165600","3","0","false","false","false","complete-six-files","6","core-candidate"
"14","西瓜","11","1","708","29","27","23","100800","2","0","false","false","false","complete-six-files","6","core-candidate"
"15","香蕉","12","1","900","32","29","25","111600","2","0","false","false","false","complete-six-files","6","core-candidate"
"16","菠萝蜜","43","1","4470","55","22","13","100800","7","0","false","false","false","complete-six-files","6","core-candidate"
"17","黑布仑","46","1","4540","58","21","12","90000","7","0","false","false","false","complete-six-files","6","core-candidate"
"18","桃子","13","1","1200","40","32","33","151200","2","0","false","false","false","complete-six-files","6","core-candidate"
"19","橙子","14","1","1587","41","26","25","133200","3","0","false","false","false","complete-six-files","6","core-candidate"
"20","乌饭子","45","1","4510","57","23","14","104400","7","0","false","false","false","complete-six-files","6","core-candidate"
"21","可可豆","47","1","4690","59","27","19","144000","7","0","false","false","false","complete-six-files","6","core-candidate"
"22","鳄梨","44","1","4500","56","23","14","115200","7","0","false","false","false","complete-six-files","6","core-candidate"
"23","石榴","16","1","2425","54","30","34","187200","3","0","false","false","false","complete-six-files","6","core-candidate"
"24","莲雾","48","1","4720","60","27","19","126000","7","0","false","false","false","complete-six-files","6","core-candidate"
"25","银杏树苗","14","1","1587","40","26","23","126000","3","0","false","true","false","complete-six-files","6","excluded-hidden"
"26","柚子","17","1","2855","58","33","39","219600","3","0","false","false","false","complete-six-files","6","core-candidate"
"27","菠萝","18","1","3480","62","35","40","230400","3","0","false","false","false","complete-six-files","6","core-candidate"
"28","营养果粒","10","1","600","25","24","18","90000","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"29","椰子","19","1","3720","65","27","32","198000","4","0","false","false","false","complete-six-files","6","core-candidate"
"30","星之愿","10","1","678","30","24","18","90000","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"31","葫芦","20","1","4742","71","30","36","219600","4","0","false","false","false","complete-six-files","6","core-candidate"
"32","彩钻果","10","1","600","27","25","22","100800","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"33","火龙果","21","1","5356","77","32","41","252000","4","0","false","false","false","complete-six-files","6","core-candidate"
"34","樱桃","22","1","5527","78","33","42","259200","4","0","false","false","false","complete-six-files","6","core-candidate"
"35","荔枝","23","1","6588","86","34","44","277200","4","0","false","false","false","complete-six-files","6","core-candidate"
"36","箬竹","18","1","1600","64","16","19","108000","3","0","false","false","false","complete-six-files","6","core-candidate"
"37","莲藕","7","1","264","26","34","44","122400","1","0","false","false","false","complete-six-files","6","core-candidate"
"38","木瓜","24","1","6590","80","28","26","165600","5","0","false","false","false","complete-six-files","6","core-candidate"
"39","杨桃","25","1","7000","82","29","27","165600","5","0","false","false","false","complete-six-files","6","core-candidate"
"40","牧草","0","1","80","6","25","10","28800","1","0","false","false","false","complete-six-files","6","core-candidate"
"41","红玫瑰","7","1","266","27","22","23","64800","1","0","true","false","false","partial","4","blocked-assets"
"42","柠檬","26","1","6300","83","26","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"43","无花果","18","1","1700","43","29","27","151200","3","0","false","false","false","complete-six-files","6","core-candidate"
"44","丝瓜","15","1","2130","50","24","20","111600","3","0","false","false","false","complete-six-files","6","core-candidate"
"45","猕猴桃","20","1","4700","75","27","27","165600","4","0","false","false","false","complete-six-files","6","core-candidate"
"46","爱心果","15","1","4000","100","24","27","111600","3","0","false","true","false","complete-six-files","6","excluded-hidden"
"47","甘蔗","13","1","1330","42","28","25","111600","2","0","false","false","false","complete-six-files","6","core-candidate"
"48","杨梅","27","1","6600","84","27","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"49","花生","19","1","1200","38","25","25","151200","4","0","false","false","false","complete-six-files","6","core-candidate"
"50","蘑菇","17","1","2600","55","27","16","108000","3","0","false","false","false","complete-six-files","6","core-candidate"
"51","红枣","5","1","237","25","20","21","57600","1","0","false","false","false","complete-six-files","6","core-candidate"
"52","金针菇","19","1","1200","38","25","25","151200","4","0","false","true","false","complete-six-files","6","excluded-hidden"
"53","桂圆","24","1","2300","38","27","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"54","梨","20","1","1360","35","24","19","115200","4","0","false","false","false","complete-six-files","6","core-candidate"
"55","枇杷","21","1","4800","77","27","25","151200","4","0","false","false","false","complete-six-files","6","core-candidate"
"56","哈密瓜","25","1","2873","39","27","18","111600","5","0","false","true","false","complete-six-files","6","excluded-hidden"
"57","芒果","26","1","2500","40","27","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"58","榴莲","27","1","2600","41","27","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"59","大白菜","1","1","168","22","17","19","50400","1","0","false","false","false","complete-six-files","6","core-candidate"
"60","水稻","2","1","168","21","18","19","50400","1","0","false","false","false","complete-six-files","6","core-candidate"
"61","小麦","2","1","168","21","18","19","50400","1","0","false","false","false","complete-six-files","6","core-candidate"
"62","四叶草","10","1","640","24","24","17","82800","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"63","苦瓜","31","1","3210","45","28","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"64","大葱","1","1","125","19","17","15","39600","1","0","false","true","false","complete-six-files","6","excluded-hidden"
"65","大蒜","1","1","169","22","17","19","50400","1","0","false","false","false","complete-six-files","6","core-candidate"
"66","鲜姜","3","1","125","20","17","15","39600","1","0","false","true","false","complete-six-files","6","excluded-hidden"
"67","香瓜","23","1","1587","38","26","22","126000","4","0","false","true","false","complete-six-files","6","excluded-hidden"
"68","冬瓜","32","1","3300","46","28","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"69","莴笋","19","1","3720","65","27","32","198000","4","0","false","true","false","partial","5","excluded-hidden"
"70","黄豆","11","1","708","29","27","23","100800","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"71","小白菜","4","1","135","21","18","15","39600","1","0","false","true","false","complete-six-files","6","excluded-hidden"
"72","榛子","15","1","1978","47","29","30","165600","3","0","false","false","false","complete-six-files","6","core-candidate"
"73","菠菜","9","1","366","29","24","21","61200","1","0","false","true","false","partial","4","excluded-hidden"
"74","金桔","34","1","3470","46","29","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"75","桑葚","25","1","2976","39","27","18","111600","5","0","false","true","false","complete-six-files","6","excluded-hidden"
"76","山竹","30","1","3110","44","28","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"77","蓝莓","29","1","2976","43","28","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"78","杏子","33","1","3376","45","29","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"79","番石榴","28","1","2873","42","28","18","111600","5","0","false","false","false","complete-six-files","6","core-candidate"
"80","月柿","24","1","2350","38","27","18","111600","5","0","false","true","false","complete-six-files","6","excluded-hidden"
"81","圣诞树","0","1","163","20","16","14","46800","1","0","false","true","false","complete-six-files","6","excluded-hidden"
"82","摇钱树","14","1","1587","41","26","25","133200","3","0","false","true","false","complete-six-files","6","excluded-hidden"
"83","红毛丹","35","1","3520","47","30","19","118800","5","0","false","false","false","complete-six-files","6","core-candidate"
"84","芭蕉","36","1","3630","48","28","16","104400","5","0","false","false","false","complete-six-files","6","core-candidate"
"85","番荔枝","37","1","3840","49","26","16","111600","6","0","false","false","false","complete-six-files","6","core-candidate"
"86","橄榄","38","1","3840","50","26","16","108000","6","0","false","false","false","complete-six-files","6","core-candidate"
"87","百香果","39","1","4130","50","26","15","108000","6","0","false","false","false","complete-six-files","6","core-candidate"
"88","灯笼果","40","1","4200","52","26","16","104400","6","0","false","false","false","complete-six-files","6","core-candidate"
"89","芦荟","41","1","4280","53","26","16","104400","6","0","false","false","false","complete-six-files","6","core-candidate"
"90","薄荷","42","1","4380","54","27","17","108000","6","0","false","false","false","complete-six-files","6","core-candidate"
"91","山楂","9","1","325","30","25","27","79200","1","0","false","true","false","complete-six-files","6","excluded-hidden"
"92","稀世琉璃果","20","1","3522","75","27","27","165600","4","0","false","true","false","complete-six-files","6","excluded-hidden"
"93","炫舞之星","10","1","750","25","24","18","90000","2","0","false","true","false","partial","5","excluded-hidden"
"94","海洋之心","10","1","750","25","24","18","90000","2","0","false","true","false","partial","4","excluded-hidden"
"95","栗子","16","1","1600","49","20","19","108000","3","0","false","false","false","partial","4","blocked-assets"
"96","生菜","4","1","195","24","21","25","68400","1","0","false","false","false","partial","4","blocked-assets"
"97","黄瓜","8","1","280","28","29","35","100800","1","0","false","false","false","partial","4","blocked-assets"
"98","花菜","6","1","258","26","28","37","100800","1","0","false","false","false","partial","4","blocked-assets"
"99","油菜","4","1","194","24","23","29","61200","1","0","false","false","false","partial","4","blocked-assets"
"100","竹笋","12","1","800","28","28","20","90000","2","0","false","false","false","complete-six-files","6","core-candidate"
"101","薰衣草","17","1","2521","58","33","39","219600","3","0","true","true","false","complete-six-files","6","excluded-hidden"
"102","马蹄莲","18","1","3480","62","35","40","230400","3","0","true","true","false","complete-six-files","6","excluded-hidden"
"103","天香百合","8","1","296","28","24","25","72000","1","0","true","true","false","complete-six-files","6","excluded-hidden"
"104","非洲菊","10","1","578","24","23","18","75600","2","0","true","true","false","complete-six-files","6","excluded-hidden"
"105","小雏菊","6","1","251","26","21","22","61200","1","0","true","true","false","complete-six-files","6","excluded-hidden"
"106","郁金香","16","1","2425","54","30","34","187200","3","0","true","true","false","complete-six-files","6","excluded-hidden"
"107","仙人掌","20","1","1360","35","24","19","115200","4","0","true","true","false","complete-six-files","6","excluded-hidden"
"108","铃兰","22","1","2150","43","25","19","115200","4","0","true","true","false","complete-six-files","6","excluded-hidden"
"109","蝴蝶兰","18","1","3480","62","35","40","230400","3","0","true","true","false","complete-six-files","6","excluded-hidden"
"110","满天星","7","1","300","10","37","19","90000","3","0","true","true","false","complete-six-files","6","excluded-hidden"
"111","粉玫瑰","11","1","708","29","27","23","100800","2","0","true","true","false","complete-six-files","6","excluded-hidden"
"112","风信子","13","1","1120","42","28","25","111600","2","0","true","true","false","complete-six-files","6","excluded-hidden"
"113","栀子花","14","1","1587","41","26","25","133200","3","0","true","true","false","complete-six-files","6","excluded-hidden"
"114","蓝玫瑰","19","1","1200","38","25","25","151200","4","0","true","true","false","complete-six-files","6","excluded-hidden"
"116","曼陀罗华","30","1","3200","82","62","16","126000","8","1","true","false","false","partial","4","blocked-assets"
"117","康乃馨","26","1","2100","40","27","18","111600","5","0","true","true","false","complete-six-files","6","excluded-hidden"
"118","水仙花","13","1","1130","42","28","25","111600","2","0","true","true","false","complete-six-files","6","excluded-hidden"
"119","紫罗兰","27","1","2600","41","27","18","111600","5","0","true","false","false","complete-six-files","6","core-candidate"
"121","蔷薇","15","1","1978","47","29","30","165600","3","0","true","true","false","complete-six-files","6","excluded-hidden"
"122","丁香花","12","1","900","32","29","25","111600","2","0","true","false","false","complete-six-files","6","core-candidate"
"123","海棠花","23","1","6588","86","34","44","277200","4","0","true","true","false","complete-six-files","6","excluded-hidden"
"124","月季花","20","1","1760","35","24","19","115200","4","0","true","false","false","partial","4","blocked-assets"
"125","太阳花","28","1","2873","42","28","18","111600","5","0","true","true","false","complete-six-files","6","excluded-hidden"
"126","曼珠沙华","30","1","3200","82","62","16","126000","8","1","true","false","false","complete-six-files","6","core-candidate"
"128","茉莉花","14","1","1495","41","24","23","126000","3","0","true","true","false","complete-six-files","6","excluded-hidden"
"129","勿忘我","15","1","1620","45","24","24","122400","3","0","true","false","false","partial","5","blocked-assets"
"130","琼花","28","1","2873","43","28","18","111600","3","0","true","false","false","complete-six-files","6","core-candidate"
"131","六月雪","22","1","1914","44","29","18","97200","3","0","true","false","false","complete-six-files","6","core-candidate"
"133","凤仙花","24","1","2001","46","29","18","108000","3","0","true","false","false","partial","5","blocked-assets"
"134","绿牡丹","10","1","578","24","22","15","72000","2","0","true","true","false","partial","4","excluded-hidden"
"135","火绒草","10","1","528","24","22","15","72000","2","0","true","true","false","complete-six-files","6","excluded-hidden"
"136","毛蟹爪莲","10","1","578","24","22","15","72000","2","0","true","false","false","complete-six-files","6","core-candidate"
"137","花儿朵朵","3","1","30","200","10","0","270000","1","0","true","false","false","complete-six-files","6","core-candidate"
"138","车神之恋","10","1","648","27","24","20","82800","2","0","true","true","false","complete-six-files","6","excluded-hidden"
"139","糖槭树花","10","1","528","24","22","15","72000","2","0","true","false","false","complete-six-files","6","core-candidate"
"140","象牙红","10","1","528","24","22","15","72000","2","0","true","false","false","complete-six-files","6","core-candidate"
"141","花香根鸢尾","10","1","502","24","22","15","72000","2","0","true","false","false","complete-six-files","6","core-candidate"
"142","虞美人","10","1","502","24","22","15","72000","2","0","true","false","false","complete-six-files","6","core-candidate"
"143","含羞草","7","1","265","27","22","23","64800","1","0","true","false","false","complete-six-files","6","core-candidate"
"144","七里香","12","1","900","32","29","25","111600","2","0","true","false","false","complete-six-files","6","core-candidate"
"145","向日葵","10","1","578","24","23","18","75600","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"146","冰爽之星","5","1","237","25","20","21","57600","1","0","false","true","false","complete-six-files","6","excluded-hidden"
"147","牵牛花","7","1","300","10","37","19","90000","3","0","true","true","false","complete-six-files","6","excluded-hidden"
"148","炫舞璀璨","10","1","576","25","24","18","90000","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"150","梦幻圣果","13","1","1330","42","28","25","111600","2","0","false","false","false","partial","4","blocked-assets"
"151","幻想彩虹树","11","1","708","29","27","23","100800","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"152","幻想幸运星","13","1","1176","42","28","25","111600","2","0","false","false","false","partial","4","blocked-assets"
"153","月亮果","8","1","300","20","30","25","90000","1","0","false","true","false","complete-six-files","6","excluded-hidden"
"154","月桂花","8","1","300","20","30","25","90000","1","0","true","true","false","complete-six-files","6","excluded-hidden"
"158","银鹭花生","10","1","605","27","24","20","82800","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"159","幻世天缘果","12","1","240","15","20","25","111600","2","0","false","true","false","complete-six-files","6","excluded-hidden"
"160","彩灯果","36","1","4200","48","28","16","104400","5","0","false","true","false","complete-six-files","6","excluded-hidden"
"161","秋菊（黄色）","7","1","585","10","37","19","90000","3","0","true","true","false","partial","5","excluded-hidden"
