"area","source_id","name","set_name","item_type","original_level","coin_price","premium_price","discounted_premium_price","experience","valid_seconds","hidden","integration_policy"
"farm","1","田园风光","QQ农场","1","0","0","50","0","0","1","true","excluded-hidden"
"farm","2","茅草屋","QQ农场","2","0","0","40","0","0","1","true","excluded-hidden"
"farm","3","木桩栅栏","QQ农场","3","0","0","25","0","0","1","true","excluded-hidden"
"farm","4","茅草狗屋","QQ农场","4","0","0","20","0","0","1","true","excluded-hidden"
"farm","11","春日风车背景","荷兰葵花系列","1","0","14499","50","40","288","2592000","true","excluded-hidden"
"farm","12","绿顶小木屋","荷兰葵花系列","2","0","9999","40","32","200","2592000","true","excluded-hidden"
"farm","13","爱心木栅栏","荷兰葵花系列","3","0","5999","25","20","120","2592000","true","excluded-hidden"
"farm","14","木制小狗窝","荷兰葵花系列","4","0","4999","20","16","96","2592000","true","excluded-hidden"
"farm","16","圣诞快乐","圣诞快乐","1","0","14499","50","40","288","2592000","true","excluded-hidden"
"farm","17","圣诞雪屋","圣诞快乐","2","0","10099","40","32","200","2592000","true","excluded-hidden"
"farm","18","小院围墙","圣诞快乐","3","0","5989","25","20","120","2592000","true","excluded-hidden"
"farm","19","圣诞狗窝","圣诞快乐","4","0","5899","20","16","96","2592000","true","excluded-hidden"
"farm","21","春天的故事","春天的故事","1","0","12499","35","25","188","2592000","true","excluded-hidden"
"farm","22","春天小屋","春天的故事","2","0","11599","30","28","140","2592000","true","excluded-hidden"
"farm","23","春天围墙","春天的故事","3","0","8889","15","10","60","2592000","true","excluded-hidden"
"farm","24","春天狗窝","春天的故事","4","0","9099","15","10","40","2592000","true","excluded-hidden"
"farm","26","新年快乐","新年快乐","1","0","14499","50","40","288","2592000","true","excluded-hidden"
"farm","27","新年小屋","新年快乐","2","0","10099","40","32","200","2592000","true","excluded-hidden"
"farm","28","新年围墙","新年快乐","3","0","5989","25","20","120","2592000","true","excluded-hidden"
"farm","29","新年狗窝","新年快乐","4","0","5899","20","16","96","2592000","true","excluded-hidden"
"farm","31","夏日海滩","夏日海滩","1","0","16499","35","25","188","2592000","true","excluded-hidden"
"farm","32","海滩别墅","夏日海滩","2","0","13599","30","28","140","2592000","true","excluded-hidden"
"farm","33","海滩栅栏","夏日海滩","3","0","12089","15","10","60","2592000","true","excluded-hidden"
"farm","34","海滩狗窝","夏日海滩","4","0","11099","15","10","40","2592000","true","excluded-hidden"
"farm","41","浓情原野","青春草原套装","1","0","17280","65","52","346","2592000","true","excluded-hidden"
"farm","42","温情蒙古包","青春草原套装","2","0","12000","45","36","240","2592000","true","excluded-hidden"
"farm","43","怡情围毡","青春草原套装","3","0","7200","28","22","144","2592000","true","excluded-hidden"
"farm","44","风情獒窝","青春草原套装","4","0","5760","22","17","115","2592000","true","excluded-hidden"
"farm","45","魔幻乐园背景","魔幻乐园套装","1","0","42199","144","115","720","2592000","false","deferred-cosmetic"
"farm","46","蘑菇小屋","魔幻乐园套装","2","0","29888","100","80","500","2592000","false","deferred-cosmetic"
"farm","47","迷幻栅栏","魔幻乐园套装","3","0","18088","60","48","300","2592000","false","deferred-cosmetic"
"farm","48","迷你狗窝","魔幻乐园套装","4","0","14399","48","38","240","2592000","false","deferred-cosmetic"
"farm","49","欧洲田园风光","欧洲田园风光","1","0","50199","144","115","480","2592000","false","deferred-cosmetic"
"farm","50","欧式简装别墅","欧洲田园风光","2","0","30888","100","80","420","2592000","false","deferred-cosmetic"
"farm","51","欧式栅栏","欧洲田园风光","3","0","20088","60","48","320","2592000","false","deferred-cosmetic"
"farm","52","欧洲风情小狗窝","欧洲田园风光","4","0","20399","48","38","250","2592000","false","deferred-cosmetic"
"farm","53","阿尔卑斯山风光","阿尔卑斯山风光","1","0","52199","144","115","480","2592000","false","deferred-cosmetic"
"farm","54","山脚下小屋","阿尔卑斯山风光","2","0","32888","100","80","420","2592000","false","deferred-cosmetic"
"farm","55","阿尔卑斯特产栅栏","阿尔卑斯山风光","3","0","22088","60","48","320","2592000","false","deferred-cosmetic"
"farm","56","阿尔卑斯特产狗屋","阿尔卑斯山风光","4","0","22399","48","38","250","2592000","false","deferred-cosmetic"
"farm","57","地中海风情","地中海套装","1","0","33088","88","70","442","2592000","true","excluded-hidden"
"farm","58","迷情蓝堡","地中海套装","2","0","22299","61","48","307","2592000","true","excluded-hidden"
"farm","59","白沙围廊","地中海套装","3","0","13788","37","29","184","2592000","true","excluded-hidden"
"farm","60","贝鲁特犬舍","地中海套装","4","0","11088","29","23","147","2592000","true","excluded-hidden"
"farm","61","仙踪林背景","仙踪林套装","1","0","23088","55","44","165","2592000","true","excluded-hidden"
"farm","62","豪华别墅","仙踪林套装","2","0","15999","38","30","114","2592000","true","excluded-hidden"
"farm","63","木制栅栏","仙踪林套装","3","0","9588","23","18","69","2592000","true","excluded-hidden"
