"source_id","name","cycle_seconds","experience","unlock_crystal_type","unlock_crystal_amount","unlock_coins","mature_hours","base_yield","pool_size","seed_price","sale_price","hidden","visible","has_fish_asset","has_seed_asset","integration_policy"
"1","测试鱼","3600;3600;3600","10","1","0","500","8","10","1","500","6","true","false","true","true","excluded-test"
"2","小丑鱼","21600;50400;82800","42","0","0","10000","23","15","1","650","90","false","true","true","true","core-candidate"
"3","龙虾","43200;93600;144000","61","0","0","50000","40","29","1","1570","115","false","true","true","true","core-candidate"
"4","蝶鱼","28800;64800;108000","50","1","10","50000","30","24","1","940","85","false","true","true","true","core-candidate"
"5","皇家丝鲈","36000;75600;118800","52","1","10","100000","33","27","1","1100","85","false","true","true","true","core-candidate"
"6","鹦鹉鱼","43200;86400;136800","59","2","10","100000","38","28","1","1340","100","false","true","true","true","core-candidate"
"7","蓝唐王鱼","28800;57600;90000","43","1","5","20000","25","20","1","741","78","false","true","true","true","core-candidate"
"8","孔雀鱼","43200;86400;144000","62","2","50","200000","40","28","1","1450","110","false","true","true","true","core-candidate"
"9","虎皮鱼","36000;79200;126000","54","2","30","150000","35","25","1","1200","100","false","true","true","true","core-candidate"
"10","绿海龟","54000;108000;180000","78","7","30","300000","50","30","1","2025","145","false","true","true","true","core-candidate"
"11","彩虹鱼","43200;93600;151200","65","1","50","250000","42","28","1","1550","120","false","true","true","true","core-candidate"
"12","宽带蝴蝶鱼","32400;72000;118800","51","1","20","150000","33","26","1","1070","88","false","true","true","true","core-candidate"
"13","蝠鲼","54000;126000;216000","180","7","20","500000","60","29","1","4800","350","false","true","true","true","core-candidate"
"14","海豚","57600;129600;244800","285","0","0","500000","68","25","3","8200","700","false","false","true","true","core-candidate"
"15","团圆鱼","36000;79200;129600","57","0","0","0","36","27","1","1200","100","true","false","true","true","excluded-hidden"
"16","假面鱼","43200;93600;151200","65","0","0","0","42","30","1","1660","115","false","true","true","true","core-candidate"
"17","金鱼","28800;57600;90000","45","0","0","0","25","30","1","800","100","false","false","true","true","core-candidate"
