"land_type","source_id","level","coins","premium"
"standard","0","28","200000","20"
"standard","1","29","220000","22"
"standard","2","30","240000","24"
"standard","3","31","260000","26"
"standard","4","32","290000","29"
"standard","5","33","320000","32"
"standard","6","34","350000","35"
"standard","7","35","380000","38"
"standard","8","36","410000","41"
"standard","9","37","440000","44"
"standard","10","38","480000","48"
"standard","11","39","520000","52"
"standard","12","40","560000","56"
"standard","13","41","600000","60"
"standard","14","42","650000","65"
"standard","15","43","700000","70"
"standard","16","44","770000","77"
"standard","17","45","900000","90"
"standard","18","47","1100000","110"
"standard","19","49","1300000","130"
"standard","20","51","1500000","150"
"standard","21","53","1700000","170"
"standard","22","55","1900000","190"
"standard","23","57","2100000","210"
"black","0","40","500000","50"
"black","1","41","600000","60"
"black","2","42","700000","70"
"black","3","43","800000","80"
"black","4","44","900000","90"
"black","5","45","1000000","100"
"black","6","46","1100000","110"
"black","7","47","1200000","120"
"black","8","48","1300000","130"
"black","9","49","1400000","140"
"black","10","50","1500000","150"
"black","11","51","1600000","160"
"black","12","52","1700000","170"
"black","13","53","1800000","180"
"black","14","54","1900000","190"
"black","15","55","2000000","200"
"black","16","56","2100000","210"
"black","17","57","2200000","220"
"black","18","58","2300000","230"
"black","19","59","2400000","240"
"black","20","60","2500000","250"
"black","21","61","2600000","260"
"black","22","62","2700000","270"
"black","23","63","2800000","280"
