"source_id","domain","values"
"1","farm","14400;28800;46800;64800;86400;2000000000"
"2","farm","7200;14400;25200;36000;36000;2000000000"
"3","farm","7200;18000;32400;46800;46800;2000000000"
"4","farm","7200;14400;25200;36000;50400;2000000000"
"5","farm","7200;14400;25200;39600;54000;2000000000"
"6","farm","7200;18000;28800;43200;57600;2000000000"
"7","farm","7200;18000;32400;46800;61200;2000000000"
"8","farm","10800;21600;32400;46800;64800;2000000000"
"9","farm","10800;25200;39600;54000;72000;2000000000"
"10","farm","10800;25200;43200;61200;79200;2000000000"
"11","farm","14400;28800;43200;57600;75600;2000000000"
"13","farm","28800;61200;93600;129600;165600;2000000000"
"14","farm","14400;32400;54000;75600;100800;2000000000"
"15","farm","18000;39600;61200;86400;111600;2000000000"
"16","farm","28800;46800;64800;86400;100800;2000000000"
"17","farm","18000;36000;54000;72000;90000;2000000000"
"18","farm","28800;57600;86400;118800;151200;2000000000"
"19","farm","25200;50400;75600;104400;133200;2000000000"
"20","farm","21600;39600;61200;82800;104400;2000000000"
"21","farm","28800;57600;86400;115200;144000;2000000000"
"22","farm","25200;54000;75600;97200;115200;2000000000"
"23","farm","36000;72000;108000;147600;187200;2000000000"
"24","farm","18000;39600;64800;93600;126000;2000000000"
"25","farm","18000;43200;72000;97200;126000;2000000000"
"26","farm","39600;82800;126000;172800;219600;2000000000"
"27","farm","43200;90000;136800;183600;230400;2000000000"
"28","farm","21600;36000;54000;72000;90000;2000000000"
"29","farm","36000;75600;115200;154800;198000;2000000000"
"30","farm","18000;36000;54000;72000;90000;2000000000"
"31","farm","39600;82800;126000;172800;219600;2000000000"
"32","farm","21600;43200;64800;86400;108000;2000000000"
"33","farm","46800;97200;147600;198000;252000;2000000000"
"34","farm","50400;100800;151200;205200;259200;2000000000"
"35","farm","54000;108000;165600;219600;277200;2000000000"
"36","farm","21600;43200;64800;86400;108000;2000000000"
"37","farm","21600;46800;75600;100800;122400;2000000000"
"38","farm","28800;61200;93600;129600;165600;2000000000"
"39","farm","28800;61200;93600;129600;165600;2000000000"
"40","farm","7200;14400;21600;28800;28800;2000000000"
"41","farm","10800;21600;32400;46800;64800;2000000000"
"42","farm","18000;39600;61200;86400;111600;2000000000"
"43","farm","28800;57600;86400;118800;151200;2000000000"
"44","farm","18000;39600;61200;86400;111600;2000000000"
"45","farm","28800;61200;93600;129600;165600;2000000000"
"46","farm","18000;39600;61200;86400;111600;2000000000"
"47","farm","18000;39600;61200;86400;111600;2000000000"
"48","farm","18000;39600;61200;86400;111600;2000000000"
"49","farm","28800;57600;86400;118800;151200;2000000000"
"50","farm","25200;50400;79200;108000;108000;2000000000"
"51","farm","7200;18000;28800;43200;57600;2000000000"
"52","farm","28800;57600;86400;118800;151200;2000000000"
"53","farm","18000;39600;61200;86400;111600;2000000000"
"54","farm","21600;43200;64800;90000;115200;2000000000"
"55","farm","28800;57600;86400;118800;151200;2000000000"
"56","farm","18000;39600;61200;86400;111600;2000000000"
"57","farm","18000;39600;61200;86400;111600;2000000000"
"58","farm","18000;39600;61200;86400;111600;2000000000"
"59","farm","7200;14400;25200;36000;50400;2000000000"
"60","farm","7200;14400;25200;36000;50400;2000000000"
"61","farm","7200;14400;25200;36000;50400;2000000000"
"62","farm","14400;28800;46800;64800;82800;2000000000"
"63","farm","18000;39600;61200;86400;111600;2000000000"
"64","farm","7200;14400;25200;39600;39600;2000000000"
"65","farm","7200;18000;25200;36000;50400;2000000000"
"66","farm","7200;14400;25200;25200;39600;2000000000"
"67","farm","21600;43200;68400;97200;126000;2000000000"
"68","farm","18000;39600;61200;86400;111600;2000000000"
"69","farm","36000;75600;115200;154800;198000;2000000000"
"70","farm","14400;32400;54000;75600;100800;2000000000"
"71","farm","7200;14400;25200;39600;39600;2000000000"
"72","farm","28800;61200;93600;129600;165600;2000000000"
"73","farm","10800;25200;43200;43200;61200;2000000000"
"74","farm","18000;39600;61200;86400;111600;2000000000"
"75","farm","18000;39600;61200;86400;111600;2000000000"
"76","farm","18000;39600;61200;86400;111600;2000000000"
"77","farm","18000;39600;61200;86400;111600;2000000000"
"78","farm","18000;39600;61200;86400;111600;2000000000"
"79","farm","18000;39600;61200;86400;111600;2000000000"
"80","farm","18000;39600;61200;86400;111600;2000000000"
"81","farm","7200;14400;25200;36000;46800;2000000000"
"82","farm","18000;39600;75600;104400;133200;2000000000"
"83","farm","21600;46800;64800;90000;118800;2000000000"
"84","farm","21600;39600;57600;79200;104400;2000000000"
"85","farm","18000;43200;64800;93600;111600;2000000000"
"86","farm","21600;43200;61200;82800;108000;2000000000"
"87","farm","21600;43200;64800;86400;108000;2000000000"
"88","farm","21600;39600;57600;79200;104400;2000000000"
"89","farm","21600;39600;57600;79200;104400;2000000000"
"90","farm","21600;39600;57600;82800;108000;2000000000"
"91","farm","10800;25200;43200;57600;79200;2000000000"
"92","farm","28800;61200;93600;129600;165600;2000000000"
"93","farm","18000;36000;54000;72000;90000;2000000000"
"94","farm","18000;36000;54000;72000;90000;2000000000"
"95","farm","21600;43200;64800;86400;108000;2000000000"
"96","farm","10800;21600;36000;50400;68400;2000000000"
"97","farm","14400;32400;54000;79200;100800;2000000000"
"98","farm","21600;43200;64800;82800;100800;2000000000"
"99","farm","14400;28800;46800;61200;61200;2000000000"
"100","farm","18000;36000;54000;72000;90000;2000000000"
"101","farm","39600;82800;126000;172800;219600;2000000000"
"102","farm","43200;90000;136800;183600;230400;2000000000"
"103","farm","10800;25200;39600;54000;72000;2000000000"
"104","farm","14400;28800;43200;57600;75600;2000000000"
"105","farm","7200;18000;32400;46800;61200;2000000000"
"106","farm","36000;72000;108000;147600;187200;2000000000"
"107","farm","21600;43200;64800;90000;115200;2000000000"
"108","farm","21600;43200;64800;90000;115200;2000000000"
"109","farm","43200;90000;136800;183600;230400;2000000000"
"110","farm","18000;36000;54000;72000;90000;2000000000"
"111","farm","14400;32400;54000;75600;100800;2000000000"
"112","farm","18000;39600;61200;86400;111600;2000000000"
"113","farm","25200;50400;75600;104400;133200;2000000000"
"114","farm","28800;57600;86400;118800;151200;2000000000"
"116","farm","25200;50400;75600;100800;126000;2000000000"
"117","farm","18000;39600;61200;86400;111600;2000000000"
"118","farm","18000;39600;61200;86400;111600;2000000000"
"119","farm","18000;39600;61200;86400;111600;2000000000"
"121","farm","28800;61200;93600;129600;165600;2000000000"
"122","farm","18000;39600;61200;86400;111600;2000000000"
"123","farm","54000;108000;165600;219600;277200;2000000000"
"124","farm","21600;43200;64800;90000;115200;2000000000"
"125","farm","18000;39600;61200;86400;111600;2000000000"
"126","farm","25200;50400;75600;100800;126000;2000000000"
"127","farm","25200;50400;75600;100800;126000;2000000000"
"128","farm","25200;50400;75600;100800;126000;2000000000"
"129","farm","21600;43200;64800;93600;122400;2000000000"
"130","farm","25200;50400;72000;93600;111600;2000000000"
"131","farm","18000;32400;50400;82800;97200;2000000000"
"133","farm","21600;43200;64800;86400;108000;2000000000"
"134","farm","14400;28800;43200;57600;72000;2000000000"
"135","farm","14400;28800;43200;57600;72000;2000000000"
"136","farm","14400;28800;43200;57600;72000;2000000000"
"137","farm","54000;108000;162000;216000;270000;2000000000"
"138","farm","14400;28800;46800;64800;82800;2000000000"
"139","farm","14400;28800;43200;57600;72000;2000000000"
"140","farm","14400;28800;43200;57600;72000;2000000000"
"141","farm","14400;28800;43200;57600;72000;2000000000"
"142","farm","14400;28800;43200;57600;72000;2000000000"
"143","farm","10800;21600;32400;46800;64800;2000000000"
"144","farm","18000;39600;61200;86400;111600;2000000000"
"145","farm","14400;28800;43200;57600;75600;2000000000"
"146","farm","7200;18000;28800;43200;57600;2000000000"
"147","farm","18000;36000;54000;72000;90000;2000000000"
"148","farm","21600;36000;54000;72000;90000;2000000000"
"150","farm","18000;39600;61200;86400;111600;2000000000"
"151","farm","14400;32400;54000;75600;100800;2000000000"
"152","farm","18000;39600;61200;86400;111600;2000000000"
"153","farm","18000;36000;54000;72000;90000;2000000000"
"154","farm","18000;36000;54000;72000;90000;2000000000"
"158","farm","14400;28800;46800;64800;82800;2000000000"
"159","farm","18000;39600;61200;86400;111600;2000000000"
"160","farm","21600;39600;57600;79200;104400;2000000000"
"161","farm","18000;36000;54000;72000;90000;2000000000"
"162","farm","18000;36000;54000;72000;90000;2000000000"
"164","farm","18000;39600;61200;90000;111600;2000000000"
"165","farm","21600;43200;64800;90000;115200;2000000000"
"166","farm","36000;68400;104400;140400;169200;2000000000"
"167","farm","14400;32400;50400;68400;86400;2000000000"
"168","farm","21600;36000;54000;72000;90000;2000000000"
"169","farm","7200;18000;28800;39600;57600;2000000000"
"170","farm","7200;18000;28800;39600;57600;2000000000"
"171","farm","7200;18000;28800;39600;57600;2000000000"
"172","farm","18000;39600;61200;86400;111600;2000000000"
"173","farm","18000;39600;61200;86400;111600;2000000000"
"174","farm","18000;39600;61200;86400;111600;2000000000"
"175","farm","18000;39600;61200;86400;111600;2000000000"
"176","farm","18000;39600;61200;86400;111600;2000000000"
"177","farm","18000;36000;54000;72000;90000;2000000000"
"178","farm","28800;57600;93600;136800;165600;2000000000"
"179","farm","18000;36000;54000;72000;90000;2000000000"
"180","farm","18000;39600;61200;86400;111600;2000000000"
"181","farm","14400;32400;54000;75600;100800;2000000000"
"182","farm","28800;57600;86400;118800;151200;2000000000"
"183","farm","28800;61200;93600;129600;165600;2000000000"
"185","farm","43200;90000;136800;183600;230400;2000000000"
"186","farm","21600;43200;64800;90000;115200;2000000000"
"187","farm","28800;57600;86400;118800;151200;2000000000"
"188","farm","18000;39600;61200;86400;111600;2000000000"
"189","farm","18000;39600;61200;86400;111600;2000000000"
"190","farm","18000;39600;61200;86400;111600;2000000000"
"191","farm","18000;39600;61200;86400;111600;2000000000"
"192","farm","28800;54000;79200;108000;136800;2000000000"
"194","farm","21600;36000;54000;72000;90000;2000000000"
"195","farm","18000;39600;61200;86400;111600;2000000000"
"197","farm","14400;32400;54000;75600;100800;2000000000"
"198","farm","21600;36000;54000;72000;90000;2000000000"
"200","farm","25200;50400;79200;108000;144000;2000000000"
"201","farm","32400;64800;90000;115200;133200;2000000000"
"202","farm","21600;43200;64800;86400;108000;2000000000"
"203","farm","32400;64800;97200;133200;169200;2000000000"
"204","farm","28800;61200;90000;122400;151200;2000000000"
"205","farm","32400;64800;97200;129600;162000;2000000000"
"206","farm","28800;54000;82800;115200;144000;2000000000"
"207","farm","28800;54000;79200;108000;136800;2000000000"
"208","farm","32400;64800;97200;129600;162000;2000000000"
"209","farm","32400;64800;100800;133200;165600;2000000000"
"210","farm","36000;68400;100800;133200;165600;2000000000"
"211","farm","32400;64800;97200;129600;165600;2000000000"
"212","farm","32400;64800;100800;133200;165600;2000000000"
"218","farm","18000;36000;54000;72000;90000;2000000000"
"219","farm","28800;57600;86400;115200;144000;2000000000"
"220","farm","21600;43200;64800;86400;108000;2000000000"
"221","farm","18000;32400;54000;79200;108000;2000000000"
"222","farm","25200;50400;75600;104400;133200;2000000000"
"223","farm","28800;57600;86400;118800;151200;2000000000"
"224","farm","54000;108000;165600;219600;277200;2000000000"
"225","farm","32400;68400;104400;140400;176400;2000000000"
"226","farm","21600;43200;64800;93600;118800;2000000000"
"227","farm","18000;39600;72000;104400;136800;2000000000"
"228","farm","28800;61200;100800;129600;158400;2000000000"
"229","farm","28800;57600;86400;115200;144000;2000000000"
"230","farm","28800;57600;86400;115200;144000;2000000000"
"231","farm","28800;54000;82800;115200;144000;2000000000"
"232","farm","25200;50400;75600;100800;126000;2000000000"
"233","farm","32400;64800;97200;129600;162000;2000000000"
"234","farm","25200;46800;79200;97200;129600;2000000000"
"235","farm","21600;54000;82800;111600;136800;2000000000"
"236","farm","10800;25200;39600;54000;72000;2000000000"
"237","farm","18000;39600;61200;86400;111600;2000000000"
"238","farm","36000;72000;108000;147600;187200;2000000000"
"239","farm","21600;43200;64800;90000;115200;2000000000"
"240","farm","18000;39600;61200;86400;111600;2000000000"
"241","farm","18000;39600;61200;86400;111600;2000000000"
"242","farm","36000;72000;108000;144000;180000;2000000000"
"243","farm","36000;72000;108000;144000;180000;2000000000"
"244","farm","32400;64800;97200;129600;162000;2000000000"
