"area","source_id","name","item_type","coin_price","premium_price","discounted_premium_price","effect_seconds","vip_only","available","integration_policy"
"farm","1","普通化肥","3","400","0","0","3600","false","true","core-candidate"
"farm","1","狗","4","1000","0","0","0","false","true","core-candidate"
"farm","1","青铜箭矢","10","0","10","8","0","false","true","core-candidate"
"farm","1","普通鱼食","24","0","4","3","7200","false","true","core-candidate"
"farm","2","高速化肥","3","0","10","8","9000","false","true","core-candidate"
"farm","2","黑毛狗","4","8000","0","0","0","false","true","core-candidate"
"farm","2","银羽箭矢","10","0","15","12","0","false","true","core-candidate"
"farm","2","高级鱼食","24","0","10","8","18000","false","true","core-candidate"
"farm","3","极速化肥","3","0","20","16","19800","false","true","core-candidate"
"farm","3","苏格兰牧羊犬","4","5000","0","0","0","false","true","core-candidate"
"farm","3","黄金箭矢","10","0","20","16","0","false","true","core-candidate"
"farm","3","超级鱼食","24","0","20","16","28800","false","true","core-candidate"
"farm","4","斑点狗","4","10000","0","0","0","false","true","core-candidate"
"farm","4","水拔子","10","500","0","0","0","false","true","core-candidate"
"farm","4","飞速鱼食","24","0","24","20","36000","false","true","core-candidate"
"farm","5","哈士奇","4","12000","0","0","0","false","true","core-candidate"
"farm","5","青铜飞刀","10","800","0","0","0","false","true","core-candidate"
"farm","6","德国牧羊犬","4","15000","0","0","0","false","true","core-candidate"
"farm","6","白银飞刀","10","1200","0","0","0","false","true","core-candidate"
"farm","7","飞速化肥","3","0","30","24","28800","false","true","core-candidate"
"farm","7","猎犬","4","20000","0","0","0","false","true","core-candidate"
"farm","7","黄金飞刀","10","0","30","24","0","false","true","core-candidate"
"farm","10","藏獒","4","0","100","80","0","false","true","core-candidate"
"farm","12","A狗","4","0","40","35","0","false","true","core-candidate"
"farm","13","贵宾狗","4","0","20","18","0","false","true","core-candidate"
"farm","14","机器狗","4","0","45","40","0","false","true","core-candidate"
"farm","15","万圣狗","4","0","30","25","0","false","true","core-candidate"
"farm","16","机器狗","4","0","40","35","0","false","true","core-candidate"
"farm","17","B狗","4","0","50","45","0","false","true","core-candidate"
"farm","18","圣诞狗","4","0","40","35","0","false","true","core-candidate"
"farm","20","年犬","4","0","40","35","0","false","true","core-candidate"
"farm","30","普通有机化肥","3","0","5","4","3600","false","true","core-candidate"
"farm","31","高速有机化肥","3","0","12","9","9000","false","true","core-candidate"
"farm","32","极速有机化肥","3","0","24","19","19800","false","true","core-candidate"
"farm","33","飞速有机化肥","3","0","36","28","28800","false","true","core-candidate"
"farm","90","馬","4","0","40","35","0","false","true","core-candidate"
"farm","91","山羊","4","55000","0","0","0","false","true","core-candidate"
"farm","92","鸵鸟","4","50000","0","0","0","false","true","core-candidate"
"farm","93","幽灵","4","25000","0","0","0","false","true","core-candidate"
"farm","94","大肥狗","4","25000","0","0","0","false","true","core-candidate"
"farm","95","鬼面具狗","4","25000","0","0","0","false","true","core-candidate"
"farm","96","霸王龙","4","0","30","25","0","false","true","core-candidate"
"farm","97","驼鹿狗","4","20000","0","0","0","false","true","core-candidate"
"farm","98","剑齿虎","4","0","30","25","0","false","true","core-candidate"
"farm","99","無牙","4","0","30","25","0","false","true","core-candidate"
"farm","100","火鳥","4","0","25","20","0","false","true","core-candidate"
"farm","9001","普通狗粮","909090","0","4","3","0","false","true","core-candidate"
"farm","9002","狗粮5送2礼包","909090","0","20","15","0","false","true","core-candidate"
"farm","9101","高速化肥5+2礼包","3","0","50","40","0","false","true","core-candidate"
"farm","9102","极速化肥5+2礼包","3","0","100","80","0","false","true","core-candidate"
"farm","9103","飞速化肥5+2礼包","3","0","150","120","0","false","true","core-candidate"
"farm","9104","高速有机化肥5+2礼包","3","0","60","48","0","false","true","core-candidate"
"farm","9105","极速有机化肥5+2礼包","3","0","120","96","0","false","true","core-candidate"
"farm","9106","飞速有机化肥5+2礼包","3","0","180","144","0","false","true","core-candidate"
"pasture","1","普通罐头","7","0","10","8","10800","false","true","core-candidate"
"pasture","1","猎人","106","10000","0","0","0","false","true","core-candidate"
"pasture","1","青铜箭矢","10","0","10","8","0","false","true","core-candidate"
"pasture","2","高速罐头","7","0","20","16","28800","false","true","core-candidate"
"pasture","2","牧童","106","15000","0","0","0","false","true","core-candidate"
"pasture","2","银羽箭矢","10","0","15","12","0","false","true","core-candidate"
"pasture","3","极速罐头","7","0","30","24","43200","false","true","core-candidate"
"pasture","3","樵夫","106","15000","0","0","0","false","true","core-candidate"
"pasture","3","黄金箭矢","10","0","20","16","0","false","true","core-candidate"
"pasture","4","迷你罐头","7","0","4","3","3600","false","true","core-candidate"
"pasture","4","小魔女","106","18000","0","0","0","false","true","core-candidate"
"pasture","4","水拔子","10","500","0","0","0","false","true","core-candidate"
"pasture","5","西部牛仔","106","20000","0","0","0","false","true","core-candidate"
"pasture","5","青铜飞刀","10","800","0","0","0","false","true","core-candidate"
"pasture","6","非洲土著人","106","19000","0","0","0","false","true","core-candidate"
"pasture","6","白银飞刀","10","1200","0","0","0","false","true","core-candidate"
"pasture","7","捣蛋小丑","106","19000","0","0","0","false","true","core-candidate"
"pasture","7","黄金飞刀","10","0","30","24","0","false","true","core-candidate"
"pasture","8","神话英雄","106","21000","0","0","0","false","true","core-candidate"
"pasture","9","机器人","106","23000","0","0","0","false","true","core-candidate"
"pasture","10","英雄人","106","25000","0","0","0","false","true","core-candidate"
"pasture","11","普通罐头5+2礼包","10","0","50","40","0","false","true","core-candidate"
"pasture","12","高速罐头5+2礼包","10","0","100","80","0","false","true","core-candidate"
"pasture","15","普通罐头+化肥礼包","10","0","50","40","0","false","true","core-candidate"
"pasture","16","高速罐头+化肥礼包","10","0","100","80","0","false","true","core-candidate"
"pasture","16","阿 Amy","106","30000","0","0","0","false","true","core-candidate"
"pasture","17","阿 Derek","106","30000","0","0","0","false","true","core-candidate"
"pasture","30","迷你有机罐头","7","0","5","4","3600","false","true","core-candidate"
"pasture","31","普通有机罐头","7","0","12","9","10800","false","true","core-candidate"
"pasture","32","高速有机罐头","7","0","23","18","28800","false","true","core-candidate"
"pasture","33","极速有机罐头","7","0","36","28","43200","false","true","core-candidate"
"pasture","40","迷你沙漏","12","0","5","4","3600","false","true","core-candidate"
"pasture","41","普通沙漏","12","0","12","9","10800","false","true","core-candidate"
"pasture","42","高速沙漏","12","0","23","18","28800","false","true","core-candidate"
"pasture","43","极速沙漏","12","0","36","28","43200","false","true","core-candidate"
"pasture","101","普通工资","5","0","4","3","86400","false","true","core-candidate"
"pasture","102","普通工资5+2礼包","5","0","20","16","604800","false","true","core-candidate"
