"domain","category","integration_policy","files","bytes","swf_files","image_files"
"farm","catalog-icon","core-candidate","478","1584927","0","478"
"farm","crop-stage","core-candidate","2964","16513174","2964","0"
"farm","decoration","core-candidate","2181","28971966","740","1441"
"farm","dog","core-candidate","59","1226528","55","4"
"farm","flower","core-candidate","40","712695","20","20"
"farm","live-event","deferred-liveops","1","18873","1","0"
"farm","runtime-shell","core-candidate","7","530884","7","0"
"farm","scene-or-ui","core-candidate","3","54732","2","0"
"farm","tool","core-candidate","35","272499","1","34"
"farm","vip-content","excluded-monetization","4","57408","0","4"
"fishpond","fish-stage","core-candidate","35","655422","35","0"
"pasture","animal-animation","core-candidate","354","9997499","354","0"
"pasture","animal-model","core-candidate","538","2514165","0","538"
"pasture","animal-product","core-candidate","173","1314208","173","0"
"pasture","audio","core-candidate","89","366935","89","0"
"pasture","building","core-candidate","4","288500","2","2"
"pasture","catalog-icon","core-candidate","354","539517","0","354"
"pasture","decoration","core-candidate","310","13664594","166","144"
"pasture","live-event","deferred-liveops","104","2023573","39","64"
"pasture","runtime-module","core-candidate","15","233316","15","0"
"pasture","runtime-shell","core-candidate","10","542343","10","0"
"pasture","vip-content","excluded-monetization","3","18612","0","3"
"pasture","window-ui","core-candidate","3","169893","3","0"
"shared","live-event","deferred-liveops","76","2578484","39","37"
"shared","runtime-shell","core-candidate","7","1013045","7","0"
"shared","runtime-ui","core-candidate","21","1305689","11","10"
"social","avatar","optional-social","329","6856379","2","326"
