"duplicate_group","member_index","member_count","relative_path","bytes","sha256"
"08f5d4fada8c","1","2","ui/farm/diy/402b.jpg","5715","08f5d4fada8c68b7eb7d6db894091391f27d84a83004fa680ea4eac97f1f55e9"
"08f5d4fada8c","2","2","ui/farm/diy/95b.jpg","5715","08f5d4fada8c68b7eb7d6db894091391f27d84a83004fa680ea4eac97f1f55e9"
"21c35e7df059","1","2","ui/farm/diy/359.swf","6909","21c35e7df0590e548f20499414488affec49b87b9322b9fc63bb8226accb2a77"
"21c35e7df059","2","2","ui/farm/diy/910.swf","6909","21c35e7df0590e548f20499414488affec49b87b9322b9fc63bb8226accb2a77"
"32694c716157","1","2","ui/farm/icon/529.png","4011","32694c71615769043539fc97d91322ab46bffba31da9efb1eaefc78865b024ca"
"32694c716157","2","2","ui/farm/icon/530.png","4011","32694c71615769043539fc97d91322ab46bffba31da9efb1eaefc78865b024ca"
"38da4c4a1d3f","1","2","ui/farm/diy/357.swf","65693","38da4c4a1d3f3e7cb73a2f9e0ef641b148a7f116cbe9e612ff6f3fe1b334a457"
"38da4c4a1d3f","2","2","ui/farm/diy/908.swf","65693","38da4c4a1d3f3e7cb73a2f9e0ef641b148a7f116cbe9e612ff6f3fe1b334a457"
"6f7e7ac76a0f","1","2","mc/farm/VipAnimal/vipUser.png","7798","6f7e7ac76a0f10e33692693507af159579dc5aceadef33aed835bb323593970b"
"6f7e7ac76a0f","2","2","ui/vipseeds/VipSeedButtonVip.png","7798","6f7e7ac76a0f10e33692693507af159579dc5aceadef33aed835bb323593970b"
"7030c8b26094","1","2","ui/farm/diy/358.swf","14566","7030c8b2609420dec7a5918df24780e0e8e1345c4607e1401bb8e588a5c6d8b2"
"7030c8b26094","2","2","ui/farm/diy/909.swf","14566","7030c8b2609420dec7a5918df24780e0e8e1345c4607e1401bb8e588a5c6d8b2"
"7d55908ac26e","1","2","ui/farm/diy/402.swf","2933","7d55908ac26e23de74dc06983c019d011ff9111d9de377ec2e8c10436beed8f6"
"7d55908ac26e","2","2","ui/farm/diy/95.swf","2933","7d55908ac26e23de74dc06983c019d011ff9111d9de377ec2e8c10436beed8f6"
"7e81175d3fc1","1","2","ui/npc/background/shengdan/panel.jpg","78542","7e81175d3fc1227f9e71fe9fa5273eea3dc2a244a6493e707d579cc98344beaf"
"7e81175d3fc1","2","2","ui/npc/panel/panel.jpg","78542","7e81175d3fc1227f9e71fe9fa5273eea3dc2a244a6493e707d579cc98344beaf"
"91625f70adf6","1","2","mc/farm/product/p1562.swf","6852","91625f70adf6e177ee5d666d4e94491c60588bf43057ff873962f0c54e94c4ae"
"91625f70adf6","2","2","mc/farm/product/p1563.swf","6852","91625f70adf6e177ee5d666d4e94491c60588bf43057ff873962f0c54e94c4ae"
"d3f906d3b59d","1","2","mc/farm/diy/z2_102_0.swf","36","d3f906d3b59d44ca1be26df9c10b012720abe3ab6025de3197b0675cf05451f4"
"d3f906d3b59d","2","2","mc/farm/diy/z3_103_0.swf","36","d3f906d3b59d44ca1be26df9c10b012720abe3ab6025de3197b0675cf05451f4"
"f0cd6121bda7","1","2","ui/farm/diy/402.jpg","2277","f0cd6121bda74bc2b520d0174dcbba01de8ed9a62b3619f03bb5fd4b681613cf"
"f0cd6121bda7","2","2","ui/farm/diy/95.jpg","2277","f0cd6121bda74bc2b520d0174dcbba01de8ed9a62b3619f03bb5fd4b681613cf"
"fa3149ab9002","1","2","ui/farm/diy/360.swf","3556","fa3149ab90028c2759271951e2ed1035455f351bcffdb61e70d8f5f51b727d7c"
"fa3149ab9002","2","2","ui/farm/diy/911.swf","3556","fa3149ab90028c2759271951e2ed1035455f351bcffdb61e70d8f5f51b727d7c"
