"relative_path","extension","bytes","sha256","domain","category","asset_kind","integration_policy","inventory_status"
"happyfarm3_v_101.swf",".swf","27765","71b1c1fcd5ccc165d6652ad102cc9cba88f824ae785d73a0c29ad6234fe3972c","shared","runtime-shell","flash-container","core-candidate","inventoried"
"loading2_v_3.swf",".swf","10043","99b468ee1bf6ed5ebc511b6c998379a8c949aa303aad09437297dd8905a8640f","shared","runtime-shell","flash-container","core-candidate","inventoried"
"main3_v_140.swf",".swf","366834","908d16cbc01a2e4dba6b7571b31880779a097f16d75f19018b0f8d0cb47b9bb8","shared","runtime-shell","flash-container","core-candidate","inventoried"
"Master2_v_68.swf",".swf","272865","b879c75c69a683c9c954c4b9cc8c92b6066086ed44f3b7343af1eb987ed697db","shared","runtime-shell","flash-container","core-candidate","inventoried"
"Master2_v_86.swf",".swf","291488","5185928bdf5c93bb016be5ab7329eac7f0304698ac1058325efcfd1a882af82c","shared","runtime-shell","flash-container","core-candidate","inventoried"
"mc/farm/animal/a1001.jpg",".jpg","1306","631496f157dfa223fdc01d43311b312691783785b4232dffbda5d7205344ceaa","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1001b.jpg",".jpg","1399","9b67828e0815dd4b024e8f5130c9860de73342211cc89a96f724d121c49a1549","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1001p.jpg",".jpg","1033","3fc98e3eb0ef9be3771b189893512baf39c3b0f2850a5de760294a631d24871a","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1002.jpg",".jpg","1171","a3aac560feb2829d0e3a6bbda866dc5b7133f7e5951e005dffa36f7616512027","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1002b.jpg",".jpg","1306","b7ae2a5c73493bc9ec37d969cfa4cd2d7b091605390a3fd057ef05c09008c9e1","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1002p.jpg",".jpg","1053","c17858a5316015a1f975f24fac0525552363c7f10db3536036255dba932699d5","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1003.jpg",".jpg","1124","ec333155cde37ed990995aa4c11c213c9b25c8c175e508be941f1bafdb9fcb44","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1003b.jpg",".jpg","1457","ed188fd36f0680a326a688fc05b00cc11c32fb2f7622ba69cf61bca4178698d9","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1003p.jpg",".jpg","836","fe5e107d882cc4067350a52eaddb157267eedbb4f2127177a94552eba06b5e47","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1004.jpg",".jpg","1272","b9549395798cab286e448ce3dbc33032b418d0540e657ac9b5f0d4659ea22d6d","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1004b.jpg",".jpg","1374","3bcc272f7229dce9d487529885454cd3bb16dc620665d8d54192d307c7aa331d","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1004p.jpg",".jpg","1129","39cdd84e4d61d6c450f0f7f28df4b41d125b6b5fa22f41b9eddf6b2dda30d344","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1005.jpg",".jpg","1361","82cd334577a48f9b468baae89fa8ff87165422ac604ede6fe8f3c8b472bcaa70","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1005b.jpg",".jpg","2416","3d806a91b3b540435415f7d736762586fa2aa9818bcae2daf69988b08990c536","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1005p.jpg",".jpg","1119","6211595b40a12f6aa7a660b27c19dae94aa07efaa701223f6167490f18fb093c","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1006.jpg",".jpg","1349","5898d2befc9a05f3eab03e56b543d837aa747fa01132213031b4ae11b438e248","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1006b.jpg",".jpg","1672","e52e3d722bd5f303a843d7b7878ad83db3fae86181e032159477ef0f94758557","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1006p.jpg",".jpg","1134","ce5f6e84c51079dfd7a46b64617c2ff4ff883e16798aeec0cd295da35c8fc6cc","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1007.jpg",".jpg","1220","2061d0c473a2a65c9e18a0da201c92e96ad9b5b16921c14eac098d7b406575c5","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1007b.jpg",".jpg","1853","bd7ceb2af7c4eaa95ab3c20705ae9be1063a581a31ba959cb8e3aa9231af17b4","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1007p.jpg",".jpg","1141","fd7b0cde98d6d18dc50a5aca50ceb7ba9866e8aa7f85e5084791d1e132ba92d3","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1008.jpg",".jpg","1357","e39d3f09bae3316328e95783cfea4b99f5ef57084085f32aab0931d689a68089","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1008b.jpg",".jpg","2328","d73b4a8b561fd890f8e02906eae2235c04294afb974f9744db727fa889b2501d","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1008p.jpg",".jpg","1267","db7084d155912419300bc26fcf7adc938950e32022967d036258078b98c8cacd","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1009.jpg",".jpg","1149","4dd58d7571a991c2d84149192bedb3a5ef031d8b91aa2b45d3dd753d765b3ae8","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1009b.jpg",".jpg","1581","830fca4c3c5ae1f6dc7e03dc6b113416d4f6fe334ede388cbfebc7f18a3e85a8","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1009p.jpg",".jpg","992","683eba7912ccd83373345f3031b164f9d1ce32ed039306579a6b84e59357a86c","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1010.jpg",".jpg","1138","cb5bbbeb384ab74036a9cdff13863accc7fba29db9004b491f6e45b7c3ea7982","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1010b.jpg",".jpg","1335","3483453d20d8e5b6f709ba2f62e682fbd9485882cb3d206497affbc4995bddf8","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1010p.jpg",".jpg","855","0294172b977fd655b38afd222cceee07b955d91de7386dc2d69f6f45e1398a73","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1011.jpg",".jpg","1198","4a3e3310e49da29a1ee68d12ed2d27ffb033680083c5332fdbaaae168b523f5e","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1011b.jpg",".jpg","1823","6fe5e33902cc0d46362663404e0ee62ff8b92b3d92d7f2bb5cd1182b7c5caa37","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1011p.jpg",".jpg","1105","4566df0b49dfbe97e36dd60ddaf3ba8f5efd47dbd15e7de1a2959da00a7dd2de","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1012.jpg",".jpg","1303","674de3f21c9f7f0446005945f28f5dc5148e8a13b9b436a6bd9317b7cc14e444","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1012b.jpg",".jpg","1747","9a8ec067bd3bfe19b0c891b88e91cc420d51973063a1d91018d5509adfd13aac","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1012p.jpg",".jpg","958","c52d4c4c6cc40b5eb83468f0e5072debacb08ce826d57a96f943f3b7512df973","pasture","animal-model","raster-image","core-candidate","inventoried"
"mc/farm/animal/a1013.jpg",".jpg","1201","fb79fa68b7d294a5ac45600ffce6ed1d0223108aec4eec37599ad65a540537f2","pasture","animal-model","raster-image","core-candidate","inventoried"
