"key","value"
"source_version","7.0 Beta1 Build 20120209.1000"
"config_bundle_sha256","5499669caf6dc73ebf881e21bb03b5984a67e09f4fc1c5094b09420007b7f22d"
"crop_rows","589"
"crop_core_candidates","303"
"animal_rows","178"
"animal_core_candidates","153"
"fish_rows","17"
"fish_core_candidates","15"
"farm_decoration_rows","704"
"pasture_decoration_rows","117"
"decoration_shop_candidates","629"
"decoration_hidden_candidates","187"
"decoration_blocked_assets","5"
"farm_tool_rows","54"
"pasture_tool_rows","37"
"timing_rows","773"
"land_upgrade_rows","48"
