"key","value"
"source_version","7.0 Beta1 Build 20120209.1000"
"source_bundle_sha256","9a73402041a571286e27e2cd6e95bf99b00343bc410ae2ae90af9dacc846aff0"
"module_files","8197"
"module_bytes","94025860"
"swf_files","4735"
"png_files","1249"
"jpg_files","2189"
"gif_files","21"
"xml_files","3"
"duplicate_groups","12"
"config_files","20"
"database_tables","7"
"source_protocol_rows","252"
"farm_allowed_protocols","135"
"pasture_allowed_protocols","97"
"allowed_handlers_missing","11"
"handlers_not_allowlisted","20"
"duplicate_protocol_declarations","5"
