"relative_path","sha256","animal_id","sound_stage","define_sound_count","sound_stream_head_count","swf_codec_ids","swf_codecs","sample_rates_hz","sample_counts","duration_seconds","audit_status","error"
"mc/main/sound/animal/1/s1001.swf","52f3c03ca46ddc8bd4d7daed6cbc240654ebb6ff0fe8b1c0e203be6a4332975d","1001","1","1","1","2","mp3","11025","11159","1.012","valid-audio",
"mc/main/sound/animal/1/s1002.swf","adfc5b24d3ea61df192fa64f44fa678f7f71f76a0407faa43e3745b519bdd81d","1002","1","1","1","2","mp3","11025","4412","0.400","valid-audio",
"mc/main/sound/animal/1/s1003.swf","87e9d8c90529e60055561d2b600d945061151f9c2670ca0d8df12ff5062c9528","1003","1","1","1","2","mp3","11025","7635","0.693","valid-audio",
"mc/main/sound/animal/1/s1004.swf","05b6cd109bdbb17f810eeca95c1725d5b782029163b99b8f6f994409824218c7","1004","1","1","1","2","mp3","11025","9962","0.904","valid-audio",
"mc/main/sound/animal/1/s1005.swf","f69c586e5d986996739bf7e65f41133a174326ea053f35f892638afea2e65f32","1005","1","1","1","2","mp3","11025","3034","0.275","valid-audio",
"mc/main/sound/animal/1/s1006.swf","e2f8599b250e24da9618c47a4e9f11c471bde79aad1a0b4d49eff81d5ef2ea72","1006","1","1","1","2","mp3","11025","12236","1.110","valid-audio",
"mc/main/sound/animal/1/s1008.swf","ff5c954f093f73cfe33624d6abd67c2ad18848382a13a2c053929d137000a919","1008","1","1","1","2","mp3","11025","4472","0.406","valid-audio",
"mc/main/sound/animal/1/s1009.swf","d882842588b466fbbfce367fc0331bf53a040799ba7967c77d577a55cd0c1b9f","1009","1","1","1","2","mp3","11025","12451","1.129","valid-audio",
"mc/main/sound/animal/1/s1011.swf","98618909e82970032630332240309aaba2fc6680f387028885a0d195d15b9e5e","1011","1","1","1","2","mp3","11025","5598","0.508","valid-audio",
"mc/main/sound/animal/1/s1012.swf","56ba3f6674e48da6db26422988b5c5a1bc8dd1efafc30f53e2f28b3095d06904","1012","1","1","1","2","mp3","11025","10689","0.970","valid-audio",
"mc/main/sound/animal/1/s1013.swf","89a94efc390638a98650dcba5a2e75319c39fe4eac88c69a9a43ef66047aac6f","1013","1","1","1","2","mp3","11025","12000","1.088","valid-audio",
"mc/main/sound/animal/1/s1014.swf","be90bc52f93f9329e1636ae0500a9b51a067dc6c017273e3dd959079e62b1af3","1014","1","1","1","2","mp3","11025","8439","0.765","valid-audio",
"mc/main/sound/animal/1/s1019.swf","ff203be0912dcaf834f9724fbb78059c2de1c03ab80fee095c3cb7c0d80b1b05","1019","1","1","1","1","adpcm","5512.5","23616","4.284","valid-audio",
"mc/main/sound/animal/1/s1027.swf","731bb04b48ca278efb407d7db4464fd0d2b5fd934dcc83ea1f7d97311e564a8d","1027","1","1","1","2","mp3","11025","12960","1.176","valid-audio",
"mc/main/sound/animal/1/s1501.swf","231102001cd74c3ba4d8b2abb6eff09670b19fa5917a0e4301f47fa4a41974e4","1501","1","1","1","2","mp3","11025","13334","1.209","valid-audio",
"mc/main/sound/animal/1/s1502.swf","93431faf1124e8a1aab19d589e92d44800ef3d94b73b8862e62cbcda97056975","1502","1","1","1","2","mp3","11025","13393","1.215","valid-audio",
"mc/main/sound/animal/1/s1503.swf","f62a75c252a06ea6db0c71e850d9ef276cf07c06d2847bc6a991d7e2e9aff1fe","1503","1","1","1","2","mp3","11025","8110","0.736","valid-audio",
"mc/main/sound/animal/1/s1504.swf","5ccd82033c9653c65f6095111e065303bcd76d2531a359f61b5b3b8391397ef8","1504","1","1","1","2","mp3","11025","7659","0.695","valid-audio",
"mc/main/sound/animal/1/s1505.swf","7315bdae76fa41228bcb88c8405708f0eddf848100ea65924cdf489497d7ab79","1505","1","1","1","2","mp3","11025","9952","0.903","valid-audio",
"mc/main/sound/animal/1/s1507.swf","163b67fd5bec00389fe72279c523f778bacf094504eb95add64b5993823165de","1507","1","1","1","2","mp3","11025","13152","1.193","valid-audio",
"mc/main/sound/animal/1/s1508.swf","53afd4a71d4d53c92e1bd2253aed1f636a2420890e221da29ceeb229cd141e47","1508","1","1","1","2","mp3","11025","9617","0.872","valid-audio",
"mc/main/sound/animal/1/s1509.swf","ce566d2eb3049bdb4190aaac36e5bbe1a3ecd6507c44d8723a3add46329b25e1","1509","1","1","1","2","mp3","11025","9617","0.872","valid-audio",
"mc/main/sound/animal/1/s1511.swf","c897e2f25a38fc996271bceb3dac269d725e3e9018c1750b955c04930922900b","1511","1","1","1","2","mp3","11025","6346","0.576","valid-audio",
"mc/main/sound/animal/1/s1513.swf","bddcf624cbbb5a78e5d8b640d69efe5f606c4e07c510011cd6a5362d536c88d2","1513","1","1","1","2","mp3","11025","8064","0.731","valid-audio",
"mc/main/sound/animal/1/s1514.swf","06bcb8cd5e600ebc3a8b1af98f39418aa333919173969d3ffc395a459bb69eff","1514","1","1","1","2","mp3","11025","15446","1.401","valid-audio",
"mc/main/sound/animal/1/s1515.swf","db937c04963d26fc7055f98eaf4673734f1897ad5b9a4c5219d2551b7091ea90","1515","1","1","1","2","mp3","11025","12096","1.097","valid-audio",
"mc/main/sound/animal/1/s1516.swf","9f9c654fca963cc6ee0732e24ab9508ae454fe74bc3c3f10d9cda3a5c53226d9","1516","1","1","1","2","mp3","11025","20160","1.829","valid-audio",
"mc/main/sound/animal/1/s1517.swf","9eb9199d56e22bcc9f16b026aa2fcb940e741395b3a6169634b9deb35987a93c","1517","1","1","1","2","mp3","22050","35712","1.620","valid-audio",
"mc/main/sound/animal/1/s1520.swf","e9bc171edc58a47effef67a8c277dbdf4b49c379fd994b9b2bf195a5ef46be0d","1520","1","1","1","2","mp3","11025","18144","1.646","valid-audio",
"mc/main/sound/animal/1/s1521.swf","1d86e8f17896b4bb227f09c63357694ad8725b9d2234f194a02d0416c84c9943","1521","1","1","1","2","mp3","11025","12960","1.176","valid-audio",
"mc/main/sound/animal/1/s1522.swf","51bb3a33f996e410f22db250a31c7014751d956afec6b1650f8b316204052e34","1522","1","1","1","2","mp3","11025","12672","1.149","valid-audio",
"mc/main/sound/animal/1/s1523.swf","e125b96b21d532d489d17f260f72a7cd06c21c9d23f9d434f3150ed1015bcc17","1523","1","1","1","2","mp3","11025","12672","1.149","valid-audio",
"mc/main/sound/animal/1/s1525.swf","f6bb21543880dfd183559625123f32644977c821fd0f425fe71cb3ba061d590e","1525","1","1","1","2","mp3","44100","86400","1.959","valid-audio",
"mc/main/sound/animal/2/s1001.swf","1b15fc6915fdbb401938f7fb7ea70c2aa3917d5d1fecf2493fd086d930fdc453","1001","2","1","1","2","mp3","11025","15264","1.384","valid-audio",
"mc/main/sound/animal/2/s1002.swf","4f96a3441afa62ef9e56d3d1db1534925b29171d20ce874630e082d49d64069e","1002","2","1","1","2","mp3","11025","16416","1.489","valid-audio",
